stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,7.39,0.82,0,0.82,8.21,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.59,0,0,0,16.11,0,0,0
 48-58,0,0,0,0,2.3,0,0,1.72,0,0,0,0,1.15,0,49.92,0.57,0,0,10.33,0,0,0
 60-70,0,0,0.98,0,9.82,0.98,0.98,2.94,0.98,0,0,0.98,1.96,0,122.69,0,0,0,14.72,0,0,0
 72-82,0,0,0.98,0,23.56,0,0,7.85,0,0,0.98,2.94,3.93,0,192.41,0,0,0,12.76,0.98,0,0
 84-94,0,0,2.12,0,11.68,0,0,4.25,1.06,0,0,5.31,0,0,98.77,0,0,0,6.37,0,1.06,1.06
 96-106,0,1.09,9.84,1.09,17.49,0,1.09,6.56,0,0,0,6.56,2.19,0,106.01,0,1.09,0,3.28,1.09,0,0
108-118,0,0,6.13,0,16.09,0,1.53,7.66,0,0.77,0,8.43,0.77,0,117.96,0,0,0,1.53,3.06,0,0
120,0,0,1.96,0,23.52,0,0,3.92,0,0,0,13.72,1.96,0,113.67,0,0,0,5.88,1.96,0,0
