stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,1,0,0,1,0,2,8,0,0,0,1,1,0,3,1,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,0.82,0,0,8.21,0,0,0,0,0,0,0,4.1,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,13.7,0,0,2.42,0,0.81,0,0,3.22,0
 48-58,0,0,0,0,6.31,0,1.15,0,0,2.3,0,1.15,10.9,0,0,0.57,0,0,0.57,0,0.57,0.57
 60-70,0,0.98,0,0,9.82,0.98,0,0,0,1.96,0,0.98,15.7,1.96,0,0,0,0,0,0,1.96,0
 72-82,0,0.98,0.98,0,6.87,0,0.98,0,0,4.91,0,0,17.67,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,3.19,0,0,5.31,0,3.19,1.06,1.06,6.37,1.06,1.06,5.31,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,0,4.37,0,1.09,0,0,1.09,0,0,8.74,1.09,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,0,3.83,0,0.77,0,0.77,2.3,0,0,9.96,1.53,0,0.77,0,0,0,0,0,0.77
120,0,1.96,0,1.96,0,0,1.96,0,0,3.92,0,0,1.96,0,0,3.92,0,0,0,0,0,3.92
