stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,14.78,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,21.34,0,0,0.82,0,0,0,0,0,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,0.81,0,16.92,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,16.11,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,25.82,0,0,0,2.87,0,0,0,0,0,0,0,0,2.3,0,0,0.57,20.66,0,0,1.15,0,0,0,0,0,0,0,2.87,0,0,0,0,0
 60-70,0,0,0,0,0,99.13,0,0,0,0.98,0,0,0,0.98,0,0,0,0,3.93,0,0,0,25.52,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,1.96
 72-82,0,0,0,0,0.98,171.79,0,0,0,10.8,0,0.98,0.98,0,0,0,0,0,14.72,0.98,1.96,0,32.39,0.98,0,1.96,0,0,3.93,0,0,0.98,0,1.96,0.98,0,1.96,0.98,0
 84-94,0,0,0,6.37,2.12,211.35,0,0,1.06,4.25,0,0,0,2.12,0,0,1.06,0,10.62,0,0,1.06,10.62,0,0,1.06,0,0,0,0,0,0,0,3.19,0,1.06,3.19,1.06,0
 96-106,0,0,0,14.21,4.37,178.13,1.09,0,1.09,2.19,1.09,0,0,0,1.09,0,0,2.19,12.02,0,0,3.28,29.51,0,1.09,1.09,0,0,6.56,0,0,0,0,0,0,0,4.37,0,0
108-118,0,0.77,0,0.77,3.06,172.34,0.77,0,0,6.13,0,0,0,0.77,0,0.77,0,1.53,9.96,0,0,0.77,26.04,0.77,0,0.77,0,0.77,3.83,0,1.53,0,0,0,0,0.77,1.53,0,1.53
120,0,0,0,5.88,7.84,192.06,0,3.92,0,9.8,0,0,0,0,0,1.96,0,1.96,5.88,0,1.96,1.96,23.52,0,1.96,3.92,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0
