stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0.82,0,0.82,0,0,0
 36-46,0,0,54.79,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0.81,0,0.81,0,0,0
 48-58,0,0,70.58,0,1.72,0,0,0,0.57,0,0,0,0,0,0,1.15,0,0,1.72,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,135.45,0,2.94,0,0,0,0,0,0,0,0.98,0,0,2.94,0,0,2.94,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,371.07,0,6.87,0.98,0,0.98,0.98,0.98,0,0,0,0,0,4.91,0,1.96,17.67,0,0,0.98,2.94,0,0.98,0.98,3.93,0
 84-94,0,0,292.06,0,7.43,1.06,1.06,0,1.06,1.06,0,0,0,1.06,0,4.25,0,2.12,3.19,0,1.06,0,1.06,1.06,1.06,1.06,0,1.06
 96-106,0,6.56,516.92,0,13.11,1.09,1.09,2.19,2.19,2.19,2.19,1.09,0,0,1.09,2.19,1.09,0,22.95,0,0,0,2.19,0,1.09,1.09,4.37,1.09
108-118,0.77,0.77,356.94,0,7.66,1.53,0.77,0,0.77,0.77,0.77,2.3,0,0,1.53,3.83,0,0.77,16.09,0.77,0,0.77,3.06,0,0,0,5.36,0.77
120,0,1.96,456.63,3.92,1.96,0,0,0,1.96,0,0,7.84,0,1.96,0,0,0,0,13.72,0,0,0,0,0,0,0,5.88,0
