stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,14.78,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,0,0,37.06,0,0,0,0,0,0.81,5.64,0,0,0,0,0,0,2.42,0,0.81
 48-58,0,0,0.57,0,0,2.87,0,0,1.15,0,0,0,68.86,0.57,0,0.57,2.87,0.57,0.57,17.21,0,0,0,0,0,0.57,4.59,0,0.57
 60-70,0,0,0,0,0,9.82,0,0,0.98,0.98,0,0,132.51,0,0,0,3.93,0,0.98,17.67,0,0,0,1.96,0,0,3.93,0,0
 72-82,0,0,0,0,0,11.78,0.98,0,2.94,0,0,0,138.41,0.98,0.98,0,6.87,0,0.98,19.63,0,0.98,0,1.96,0.98,0,1.96,0.98,1.96
 84-94,0,0,3.19,0,0,3.19,1.06,0,1.06,0,0,0,172.05,0,0,0,2.12,0,1.06,9.56,0,0,0,1.06,0,0,0,2.12,1.06
 96-106,0,1.09,4.37,0,1.09,6.56,1.09,0,1.09,1.09,1.09,1.09,155.18,0,1.09,0,1.09,0,0,14.21,1.09,0,0,1.09,2.19,0,0,0,1.09
108-118,0,0,0,0.77,0.77,4.6,0,1.53,3.83,0,0,0,217.53,0,0.77,0,5.36,0,1.53,8.43,0,0,0,1.53,0,0,0,0,1.53
120,0,0,0,0,1.96,1.96,0,0,1.96,0,0,0,139.14,0,0,0,0,0,1.96,5.88,1.96,0,0,0,0,0,0,0,3.92
