stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,14,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,4,1,9,0,0,0,0,0
 24-34,0,0,13.13,3.28,13.95,0.82,6.57,0.82,0,0.82,0,0,0,0.82,4.1,0,0,1.64,50.07,1.64,0,1.64,0,0,0,0,0,2.46,11.49,0,0,0,0,0.82
 36-46,0,0,5.64,0.81,5.64,0.81,15.31,1.61,0,0,0.81,0,0,0,6.45,0,0,0.81,41.09,5.64,0,4.03,0,0,0,0,0,0,13.7,0,0,0,0,1.61
 48-58,0,0,5.74,5.16,5.16,1.15,25.25,0,0,0,0,0,0.57,0,8.03,0,0.57,0,19.51,3.44,0,0.57,0,0,0,0,0,0,30.41,0,0,0.57,0.57,0.57
 60-70,0,0,9.82,4.91,2.94,2.94,24.54,0,0,0,1.96,0.98,0,0,29.45,0,0,0.98,16.69,6.87,0.98,3.93,0,0,0,0,0,0,22.58,0,2.94,0,0.98,0
 72-82,0,0.98,11.78,6.87,3.93,2.94,42.21,0.98,0,0.98,0.98,0,0,0,46.14,0,0.98,0,21.6,2.94,0.98,5.89,0,0,0,0,0,0,21.6,0,0.98,0,4.91,0.98
 84-94,0,0,23.36,9.56,8.5,4.25,16.99,2.12,0,0,1.06,1.06,0,0,36.11,0,2.12,1.06,12.74,10.62,0,1.06,0,0,0,0,0,0,20.18,1.06,0,3.19,0,5.31
 96-106,0,0,16.39,6.56,6.56,4.37,16.39,2.19,0,0,5.46,0,0,2.19,17.49,0,3.28,1.09,14.21,6.56,0,4.37,0,2.19,0,0,0,0,29.51,2.19,0,0,2.19,5.46
108-118,0,0,16.85,9.96,12.26,1.53,16.09,0.77,1.53,3.06,5.36,0.77,0,0,13.02,0.77,0,0,16.09,14.55,1.53,6.89,0,0.77,0.77,0,0,0,8.43,3.06,0.77,0,0.77,3.06
120,0,0,13.72,3.92,3.92,0,1.96,1.96,1.96,1.96,3.92,0,0,0,9.8,0,0,0,11.76,9.8,0,1.96,0,0,0,1.96,0,0,9.8,3.92,0,0,0,1.96
