stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.09,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,3,34,10,0,20,0,1,0,5,7,1,0,0,0,0,0,0,0,13,0,0,6,258,2,2,3,5,0,3,32,3,1,32,84,0,2,0,0
 24-34,0,0.82,0.82,0,7.39,0,0,18.88,0,0,0,6.57,0,0,0,0,1.64,0,2.46,2.46,0,29.55,0,0,10.67,231.48,0,1.64,2.46,0,0,8.21,0,0,0,3.28,50.89,0,0.82,0,1.64
 36-46,0,0,0,0,4.03,0,0,39.48,0,0,0,11.28,0,0,0.81,0.81,0,0,0.81,0,0.81,32.23,0,0.81,8.86,223.17,0,0.81,1.61,0,0,4.03,0,0.81,0,0,54.79,0,3.22,0,1.61
 48-58,0,0,0,0,5.74,0.57,0,71.15,0,0,1.15,22.38,0,0,0,0,0.57,0,2.3,1.15,0.57,37.87,0,0,6.89,155.5,0.57,0,1.72,0,0,4.02,0,0.57,0,0,33.85,0,1.15,0,1.72
 60-70,0,0,0,0,4.91,0,0,68.71,0,1.96,0.98,21.59,2.94,0,0,0,0.98,0,0,0,0,42.21,0,0,6.87,163.91,1.96,0,0,0,1.96,4.91,0,0,0,0,25.52,0,3.93,0,0
 72-82,0,0,0,0,2.94,0.98,0,72.64,0,0.98,1.96,35.34,0.98,0,3.93,2.94,0,0,0,0,0.98,67.73,1.96,0.98,8.83,160.99,0.98,0.98,2.94,0,0.98,3.93,0,1.96,0,0,9.82,1.96,6.87,1.96,0
 84-94,0,0,1.06,0,8.5,1.06,1.06,26.55,0,2.12,2.12,15.93,3.19,0,0,0,1.06,2.12,2.12,0,1.06,28.68,0,1.06,5.31,61.6,2.12,5.31,4.25,0,0,15.93,0,0,0,0,2.12,0,5.31,0,0
 96-106,0,0,0,0,4.37,1.09,1.09,22.95,0,0,1.09,17.49,2.19,0,0,0,2.19,1.09,0,1.09,0,28.41,1.09,0,3.28,59.01,0,2.19,7.65,0,0,7.65,0,0,0,0,4.37,0,4.37,0,0
108-118,0,0,0.77,0,10.72,0,1.53,23.74,0,2.3,0.77,15.32,0.77,0,0,0.77,1.53,0,2.3,0,0.77,20.68,0,0.77,6.89,68.17,1.53,2.3,3.83,0,0.77,6.13,0,0.77,0,0,4.6,0.77,3.83,0.77,0
120,0,0,0,1.96,5.88,0,0,23.52,1.96,0,0,13.72,0,0,0,0,0,0,0,3.92,0,21.56,0,0,0,58.79,1.96,1.96,1.96,0,0,7.84,0,0,1.96,0,0,0,1.96,1.96,0
