stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,31.47,3.15,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,4.93,0,0.82,0,0,0,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,5.64,0,2.42,0,0,0.81,0,0.81
 48-58,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0.57,0.57,4.59,0,1.72,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,0.98,0.98,0.98,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0.98,0,0,1.96,0.98,0.98,5.89,0,0.98,0,0,0,0,1.96
 84-94,0,0,0,0,0,0,1.06,0,1.06,1.06,0,7.43,0,1.06,2.12,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,10.93,0,0,2.19,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0,0,0,0,8.43,0,4.6,4.6,0,0,0.77,0,0,0,0
120,0,0,0,0,1.96,1.96,0,0,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0
