stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,17,0,0,0,0,0,1,0,0,5,1,1,3,1,6,19,0,56,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,17.24,0,0,0,0,0,2.46,0,0,14.78,0.82,9.03,4.1,0,0,6.57,0.82,50.89,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,16.11,0,0.81,0,0,0.81,0.81,0,0.81,16.11,0,8.06,0,0,0.81,4.83,0,23.36,0,0,0,0
 48-58,0,0,0,0,0,1.72,0,0,13.2,0,0,0,0,1.72,1.72,0.57,1.15,11.48,0,11.48,2.87,0,0,1.15,0,28.12,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,1.96,12.76,0,0,0,0,0.98,0.98,0,0,15.7,0,12.76,4.91,0,0.98,1.96,0,10.8,0,0,0,0
 72-82,0,0,0,1.96,0,3.93,0,0,20.61,0,0.98,0,0.98,1.96,6.87,0.98,0,18.65,0.98,14.72,4.91,0,1.96,1.96,0,9.82,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,0,20.18,1.06,1.06,0,0,1.06,2.12,0,0,9.56,0,16.99,6.37,0,2.12,0,0,7.43,1.06,0,0,1.06
 96-106,0,1.09,0,0,1.09,2.19,0,0,10.93,1.09,1.09,0,0,1.09,5.46,1.09,0,7.65,0,19.67,9.84,0,3.28,1.09,0,9.84,0,0,0,0
108-118,0,0.77,0.77,1.53,0,1.53,0,0,9.96,0,0,0.77,0,2.3,1.53,2.3,0,8.43,0,15.32,4.6,0,10.72,2.3,0,5.36,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,5.88,0,1.96,0,0,3.92,1.96,0,0,7.84,0,11.76,9.8,0,1.96,5.88,0,5.88,0,1.96,0,1.96
