stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,0,0,0,0
 14-21,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,6.57,0.82,0,0,0.82,1.64,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,15.31,0,0,0,0,3.22,0
 48-58,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,8.61,0,0,0,0.57,0.57,0
 60-70,0,0,0,0,5.89,0,0,0,0,0,0.98,0,0,0,19.63,0,0,0,0.98,1.96,0
 72-82,0,0,0,0,7.85,0,3.93,3.93,0,0.98,0,0,0,0,51.05,0,0,0.98,1.96,2.94,0
 84-94,0,0,0,1.06,2.12,0,0,4.25,0,0,0,1.06,0,0,7.43,0,0,0,3.19,0,0
 96-106,0,0,0,0,4.37,0,3.28,61.2,1.09,0,1.09,0,0,0,20.76,0,0,0,2.19,1.09,0
108-118,0,0,0,0,3.06,0,0,104.17,0,0,0.77,3.83,0.77,0.77,17.62,0,0,0,1.53,0.77,0.77
120,1.96,0,0,0,0,1.96,1.96,105.83,0,0,0,1.96,0,0,5.88,0,0,0,3.92,0,0
