stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,63,11,1,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,4.93,187.98,0,0,1.64,0.82,0,3.28,0,0,0,0,1.64,0,3.28,0,0,12.31,57.46,0.82,0.82,0.82,0,0,0.82,0,0,120.67,59.92,13.95,0,0,4.1,0,0
 36-46,0,0,0,1.61,0,0,9.67,366.58,0.81,0,2.42,0,0,0.81,0,0,0,0,0,1.61,5.64,0,0,6.45,54.79,0,0.81,0.81,0,0,3.22,0,1.61,119.24,1.61,13.7,0,0,4.03,0,0
 48-58,0,0.57,0,0.57,0,0,27.54,397.07,0,0,7.46,0,0,1.15,0.57,0,0,0,0,0.57,9.18,0.57,0,12.62,87.22,0.57,0.57,0,0,0,0.57,0,0,125.09,0,17.79,0,0.57,2.87,0,1.72
 60-70,0,0,0,0.98,0.98,0,16.69,277.77,0,1.96,4.91,0,0,3.93,0,0,0,0,0,0,9.82,0,0,11.78,52.02,0,0,0,0.98,0,3.93,0,0,69.69,0,7.85,0,0.98,2.94,0.98,0.98
 72-82,0,0,0,1.96,1.96,0,26.5,193.39,0,0,8.83,0,0,1.96,0,0,0.98,0,0,0,16.69,0.98,0,13.74,54.97,0,1.96,0.98,0.98,0,2.94,0,0,44.17,0,6.87,1.96,1.96,1.96,1.96,1.96
 84-94,0,0,0,2.12,3.19,0,35.05,346.22,2.12,1.06,4.25,0,0,2.12,0,0,1.06,2.12,0,0,16.99,0,1.06,13.81,40.36,2.12,0,3.19,0,1.06,7.43,0,0,77.53,0,1.06,1.06,1.06,5.31,7.43,2.12
 96-106,0,2.19,0,5.46,10.93,0,28.41,574.84,1.09,2.19,7.65,2.19,0,4.37,2.19,1.09,0,1.09,1.09,0,20.76,0,2.19,21.86,45.9,1.09,1.09,2.19,0,3.28,12.02,0,0,84.15,0,3.28,1.09,6.56,8.74,5.46,2.19
108-118,0,0,0,3.06,1.53,0.77,26.81,425.88,0.77,1.53,9.19,0.77,0,3.83,0.77,0,1.53,1.53,2.3,0.77,12.26,1.53,0.77,23.74,58.98,0.77,2.3,0.77,0,0.77,3.83,0,0,69.7,0,2.3,0,3.06,3.83,5.36,0
120,0,0,0,1.96,0,0,13.72,225.38,0,1.96,0,0,0,1.96,3.92,0,0,0,0,0,7.84,0,0,11.76,17.64,0,0,1.96,0,1.96,1.96,0,0,15.68,0,3.92,1.96,1.96,7.84,5.88,3.92
