stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,5.26,0,0,160.35,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,31.47,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,12.59,0,0,940.94,0,0,0,9.44,9.44,0,22.03,0,0,0,0,0,0
 14-21,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,39,2,0,0,4,0,1,1,533,0,5,140,48,0,0,0,0,0
 24-34,0,0,0,0,1.64,5.75,0,0,0.82,2.46,0,0,0.82,0,0,0,0,0,0.82,21.34,0,1.64,113.28,0.82,0,5.75,0,0,0.82,0,0.82,1.64,0.82,0.82,95.22,0,0,1.64,0,0
 36-46,0,0,0,1.61,0,49.95,0,0,4.03,0.81,0,0,4.83,0,0,0,0,0,0,28.2,0.81,3.22,74.93,0,0,4.83,0,0,0,0,0,0,1.61,0,94.26,0,0.81,4.03,0,0.81
 48-58,0,0,0,1.72,0,235.26,0,0.57,3.44,4.59,0,0,2.3,0,0,0,1.15,0,0.57,60.82,1.72,4.59,55.09,0,0,3.44,0,0,0.57,0,0,1.15,0.57,0,43.61,0,0.57,2.3,0,0.57
 60-70,0,0,0,0,0,304.27,0.98,0,0.98,7.85,0,0,1.96,0,0,0,1.96,0.98,0,97.17,10.8,10.8,35.33,0,0.98,4.91,0,1.96,2.94,0,0,0.98,0,0,6.87,0,6.87,5.89,1.96,0
 72-82,0,0,0,2.94,0.98,207.13,0,0.98,3.93,27.49,0,0,8.83,0,0.98,0,4.91,0,0,156.08,29.45,13.74,51.05,0,0,22.58,0,7.85,1.96,0,0,0,0,0,5.89,0.98,30.43,14.72,12.76,0.98
 84-94,0,0,0,4.25,1.06,123.2,0,1.06,2.12,21.24,0,0,4.25,2.12,1.06,1.06,7.43,0,0,135.94,40.36,3.19,41.42,0,1.06,32.92,0,2.12,1.06,0,0,0,0,0,4.25,0,23.36,10.62,10.62,0
 96-106,0,0,0,4.37,0,112.56,0,1.09,0,22.95,1.09,0,12.02,1.09,3.28,1.09,22.95,2.19,0,162.83,48.09,9.84,36.06,1.09,0,48.09,0,15.3,3.28,0,0,0,0,0,5.46,0,25.14,25.14,16.39,0
108-118,0,0,0,3.83,1.53,130.21,0,0.77,1.53,12.26,0,0,2.3,1.53,0.77,0,9.96,2.3,0,133.28,36.77,9.19,42.89,0,1.53,34.47,0,16.85,0.77,0,0,0.77,0,0,4.6,0,15.32,14.55,10.72,0
120,0,0,0,0,0,84.27,0,1.96,1.96,7.84,0,0,1.96,0,0,0,13.72,1.96,0,88.19,48.99,9.8,17.64,1.96,0,25.48,0,11.76,3.92,0,0,0,0,0,3.92,0,11.76,19.6,5.88,1.96
