stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,2490.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0
  5-6,49.04,876.54,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,23.66,0,0,13.14,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,181.38,2.63,0,0,44.69,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,6.29,0,0,6.29,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,22,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,2,4,0,1,0,0
 24-34,0,0,0,0,15.6,0,2.46,0.82,0,1.64,0.82,0,0,0,0,0,0.82,0,1.64,0,0,2.46,6.57,0,0,1.64,0,0.82,0,4.1,0,0.82,0,3.28,0,0
 36-46,0,0,0,0,6.45,0,0.81,0.81,0,0,0,0,1.61,0,0,0,1.61,0,4.03,0,0,1.61,4.03,0,0,0.81,0,1.61,0,3.22,0,0,0.81,8.86,0,0
 48-58,0,0,0,0,5.16,0,1.15,0,0,0.57,0,0,0.57,0,0,0,0,0,6.31,0,0,0,3.44,0,0,0.57,0,0,0,1.15,0,0,0,11.48,0,0.57
 60-70,0,0,0,0,5.89,0,3.93,0,0,0,4.91,0,0,0,0,0.98,0,0.98,7.85,0,0.98,0,1.96,0,1.96,0,0,0.98,0,5.89,0,0,0,11.78,0,0
 72-82,0,0,0.98,0,6.87,0,2.94,0,0,1.96,11.78,0,2.94,0,0.98,0.98,0.98,0,10.8,0,0,2.94,7.85,0,0.98,0,0,3.93,0,9.82,0,0.98,0,28.47,0.98,0.98
 84-94,0,0,0,0,14.87,0,3.19,1.06,1.06,0,52.04,0,0,2.12,3.19,0,2.12,0,8.5,0,0,1.06,1.06,0,1.06,2.12,0,2.12,0,14.87,0,0,0,20.18,1.06,0
 96-106,0,0,1.09,0,31.69,1.09,4.37,2.19,2.19,3.28,68.85,0,4.37,0,0,1.09,2.19,1.09,15.3,0,0,2.19,12.02,0,3.28,2.19,0,7.65,0,12.02,0,0,0,28.41,0,0
108-118,0,0,0,0,16.85,0,0.77,0.77,1.53,1.53,84.26,0,0.77,0,1.53,0,2.3,1.53,4.6,0.77,0,0,8.43,0,3.83,2.3,0,1.53,0,6.89,0,0.77,0,25.28,0,0
120,0,0,0,0,25.48,0,0,0,0,1.96,74.47,1.96,1.96,0,0,0,0,1.96,9.8,0,0,1.96,9.8,0,0,0,0,5.88,0,5.88,0,0,0,21.56,0,0
