stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.52,0,0,0,21.03,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.29,3.15,0,0,53.5,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,3,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,62,0,0,0,0,0,0,0,4,0,8,18,0,0,0,0,0
 24-34,0,0,0,1.64,1.64,0,0,16.42,0,0,0.82,0.82,0,0,0,0,0,0.82,0,13.13,0,0,4.1,105.89,1.64,0.82,0,0,0,2.46,0,0,0.82,2.46,21.34,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,0,23.36,0.81,0.81,3.22,0,0.81,0,0,0,0.81,0,0.81,11.28,0,0.81,2.42,69.29,0.81,0,1.61,0,0,3.22,0,0,0.81,0,13.7,0,0.81,0,0,0
 48-58,0,0,0,0,1.15,0,0,25.25,0,0,2.87,0,0,0,0.57,0,0,0,0.57,10.9,0,0,1.15,33.28,0,0,0.57,0,0,0,0,0,0,0,5.74,0,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,35.33,0,0.98,12.76,0.98,0.98,0.98,0,0,0,0,0,25.52,0,0,3.93,30.43,0,0.98,0,0,0,3.93,0,0,0.98,0,5.89,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,0,30.43,0.98,0,8.83,0,0,1.96,0.98,0.98,0.98,0,0,38.28,0,1.96,2.94,29.45,0,0.98,1.96,0,0,3.93,0,0,0,0,2.94,0,0.98,0,0,0
 84-94,0,0,0,0,7.43,0,1.06,26.55,0,1.06,10.62,0,0,6.37,2.12,0,1.06,0,0,18.05,0,1.06,4.25,24.43,1.06,1.06,1.06,0,0,8.5,0,0,1.06,0,3.19,0,0,3.19,0,2.12
 96-106,0,0,1.09,0,15.3,0,1.09,26.23,2.19,0,12.02,5.46,0,2.19,2.19,0,1.09,0,1.09,33.88,1.09,1.09,1.09,31.69,1.09,1.09,6.56,0,0,25.14,0,0,0,0,5.46,1.09,0,1.09,1.09,4.37
108-118,0,0,0.77,0,6.89,0.77,0.77,26.81,1.53,0.77,17.62,2.3,0,3.06,0,0,0,0.77,1.53,23.74,0,0,6.89,28.34,0.77,2.3,2.3,0,0.77,9.19,0,0,0.77,0,0.77,0.77,0,4.6,0,3.06
120,0,0,1.96,0,13.72,1.96,1.96,13.72,3.92,0,13.72,1.96,0,1.96,0,1.96,1.96,1.96,0,25.48,0,0,0,33.32,1.96,0,0,0,0,17.64,0,0,0,0,1.96,0,0,5.88,0,0
