stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,10.51,0,0,7.89,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,89.38,13.14,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,9.44,0,0,62.94,0,0,0,3.15,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,2,0,23,5,7,0,0,2,0,0,0,0,0,0,0,0,0,11,0,6,87,10,1,1,4,0,0,1,14,0,2,23,48,0,3,0,0
 24-34,0,0,0.82,0,0,0.82,7.39,0.82,0,0,0.82,0,0,0,0,0,0.82,0,0,13.13,0,4.93,101.79,1.64,1.64,1.64,0,0,0.82,0,0,0,0,3.28,23.8,0,4.1,0,0.82
 36-46,0,0,0.81,0,0,0,5.64,0,0,5.64,0,0,0,0,0,0.81,0,0,0.81,16.11,0.81,4.03,72.51,0.81,0.81,0.81,0,0,0.81,0,0,0,0,0,20.14,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,14.92,0,1.72,3.44,0,0,0,0.57,0,0.57,0,0,0,17.21,1.15,1.72,57.38,0.57,0,0,0,0,0,0,0,0,0,0,17.21,0,1.72,0,0
 60-70,0,0,0,0,0,0,21.59,0,0,14.72,0,0,0,0,0,0,0,0,0,33.37,0,1.96,59.87,0.98,0,0.98,0,0.98,0,0,0,0,0,0,7.85,0,2.94,0,0
 72-82,0,0,0,0,0.98,1.96,21.6,0,0.98,11.78,0,0,0.98,0,0,0,0,0,0,39.27,1.96,0,50.06,0,0.98,0.98,0,0,0,0,0,0,0,0,1.96,0.98,2.94,0,2.94
 84-94,0,0,2.12,0,2.12,0,25.49,0,1.06,3.19,0,0,0,1.06,0,1.06,0,0,1.06,22.3,3.19,2.12,24.43,1.06,1.06,0,0,1.06,0,0,0,1.06,0,0,2.12,0,6.37,2.12,1.06
 96-106,0,0,1.09,0,0,3.28,18.58,0,0,13.11,0,0,0,2.19,0,2.19,0,0,2.19,13.11,5.46,3.28,29.51,0,1.09,0,0,0,2.19,0,0,0,0,0,4.37,2.19,4.37,0,0
108-118,0,0,0,0,7.66,0.77,16.85,0,0.77,11.49,0,0,1.53,0,0.77,2.3,0,1.53,0.77,19.92,0,1.53,39.06,1.53,3.83,0,0,0,0.77,0,0,0,0,0,0.77,0,0.77,0.77,3.06
120,0,0,0,0,7.84,0,5.88,0,1.96,3.92,0,0,0,0,0,0,0,0,0,15.68,0,1.96,31.36,1.96,0,1.96,0,0,0,0,0,0,0,0,1.96,1.96,0,1.96,0
