stage,blastomeres,epidermis,eye,immune,ionocyte,liver,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,13.18,0,0
  5-6,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,2.63,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,3.15,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0.82,3.28,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0.81,0,0
 48-58,0,0,0,0.57,1.15,0,1.15,0,0,0,0
 60-70,0,0,0,4.91,0,0,0,0,0,0,0.98
 72-82,0,0,0,2.94,0.98,0,0.98,0,0,0.98,0
 84-94,0,0,0,8.5,0,1.06,0,0,0,0,0
 96-106,0,1.09,0,8.74,1.09,0,1.09,0,0,0,0
108-118,0,0,0,6.89,1.53,0,0,0,0,0,0
120,0,0,0,17.64,5.88,0,0,0,0,0,1.96
