stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0.82,0,0.82,0,0.82,0,0,0,0,78.8,0,0,0,0,28.73,0,0,0.82,0
 36-46,0,0,0,0,0,11.28,0,0,0,0,0,0,0,0,0,0,0.81,308.57,0,0,0,0.81,46.73,0,0,0,0
 48-58,0,0,0.57,1.15,0,33.28,0,3.44,0,0,0,0,0,4.02,0,0,0,488.31,0,0,0,0,76.32,0,0,0,0.57
 60-70,0,0,0,0,0,103.06,0,1.96,0,0,0,0,0,3.93,0,0,0,721.42,0,0.98,0,0,80.48,0,0,0.98,0.98
 72-82,0,0,0,1.96,0.98,76.57,0.98,11.78,0,0,0,0.98,0,2.94,0.98,0,0,575.25,0,0,0,0.98,40.25,0,0,0,0
 84-94,0,0,0,2.12,1.06,70.09,0,5.31,0,0,0,0,1.06,4.25,0,0,0,307.99,0,0,0,2.12,24.43,0,0,1.06,0
 96-106,0,0,1.09,4.37,1.09,61.2,0,13.11,0,0,1.09,1.09,1.09,3.28,0,1.09,2.19,234.96,1.09,0,0,2.19,13.11,1.09,1.09,1.09,1.09
108-118,0,0,0,1.53,1.53,34.47,0,4.6,0,0.77,0,1.53,0.77,2.3,0,0,0,281.87,0.77,0,0,0,7.66,0,0,0.77,0
120,0,0,0,3.92,1.96,41.16,0,9.8,0,1.96,0,0,0,7.84,0,0,0,317.49,0,0,1.96,0,3.92,0,0,0,0
