stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,3254.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0,0,0
  5-6,220.67,2923.84,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.59,6.13,0,0,36.78,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,57.83,63.09,144.58,0,0,0,223.44,0,0,0,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0,1803.3,89.38,0,0,938.45,0,2.63,34.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,50.35,116.44,0,18.88,0,185.67,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,1759.16,28.32,0,0,843.39,0,6.29,28.32,3.15,97.56,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,11,139,51,0,96,0,0,0,10,1,0,2,1,1,0,0,0,1,58,0,0,72,1031,7,7,5,40,0,25,4,145,6,1,87,336,0,0,8,0,0
 24-34,0,0,4.1,37.76,11.49,0,196.18,0,0.82,0,20.52,0.82,0.82,0.82,5.75,0.82,2.46,1.64,0.82,0,128.05,0,0.82,61.56,1356.88,10.67,12.31,9.03,0,0,45.15,0.82,0,2.46,0,17.24,333.27,0,0,22.16,0,3.28
 36-46,0,0,0,11.28,26.59,0,587.33,0,0,0,27.39,0.81,0,0,4.03,0,1.61,0.81,0,0,120.04,0,1.61,35.45,1030.45,2.42,2.42,2.42,0,0,19.34,0.81,0,3.22,0,0,238.48,0,0,11.28,0,3.22
 48-58,0.57,0,0,18.36,24.67,0,616.27,0,0.57,2.87,25.82,1.72,0,4.02,5.16,0.57,3.44,0,0,0.57,135.42,1.15,8.61,26.97,530.2,2.87,4.59,8.61,0,0.57,5.16,0,0,0.57,0,0,99.27,0,0,13.2,0,1.72
 60-70,0,0,0,11.78,3.93,0,424.02,0,0,1.96,32.39,0,0,0,1.96,0.98,1.96,1.96,0,0,82.45,0,7.85,16.69,229.68,3.93,0.98,1.96,0,0,4.91,0,0,0.98,0,0,8.83,0,0,2.94,0,0
 72-82,0,0,0,22.58,9.82,0,156.08,0.98,0.98,0.98,31.41,5.89,0,0.98,6.87,0.98,0.98,0,0,0.98,82.46,0.98,9.82,13.74,160.01,1.96,3.93,0,0,0,2.94,0,0,0,0,0,4.91,0.98,0.98,11.78,0,0
 84-94,0,0,1.06,19.12,14.87,0,133.82,0,1.06,0,16.99,11.68,0,1.06,9.56,4.25,4.25,0,0,1.06,60.54,0,10.62,15.93,121.07,1.06,1.06,6.37,0,0,6.37,0,0,4.25,0,0,8.5,1.06,0,9.56,0,2.12
 96-106,0,0,0,17.49,16.39,2.19,91.8,0,0,0,18.58,9.84,0,4.37,13.11,0,3.28,0,1.09,0,49.18,0,7.65,8.74,127.86,4.37,2.19,5.46,0,1.09,10.93,0,0,0,0,0,3.28,0,0,12.02,1.09,0
108-118,0,0,0,15.32,18.38,0,100.34,0,0,0.77,20.68,4.6,0,0.77,7.66,0.77,2.3,0,3.83,0,31.4,0,2.3,11.49,163.92,5.36,2.3,3.83,0,0,4.6,0,0,0.77,0,0,3.06,1.53,0,7.66,0,0
120,0,0,0,7.84,21.56,1.96,101.91,0,0,0,7.84,0,0,0,9.8,0,1.96,0,1.96,0,39.2,0,1.96,3.92,117.59,0,0,1.96,0,0,7.84,0,0,0,0,0,3.92,1.96,0,9.8,0,0
