stage,epidermis,eye,fin_epithelia,glial,immune,mesenchyme,muscle,neural,otic,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,1,0,1,0,0,0,0
 24-34,1.64,0,0,1.64,0,0,0,4.93,1.64,1.64,3.28,0
 36-46,0,0.81,0,0,0,0,0,5.64,0,0,0.81,0
 48-58,0,2.3,0,0,0,0.57,0,5.16,0,0,1.72,0.57
 60-70,0,0.98,0.98,0.98,0.98,0.98,0,11.78,0,0.98,0.98,0
 72-82,0,4.91,0,3.93,0,5.89,0,8.83,0,0.98,0,0
 84-94,0,1.06,0,0,0,2.12,1.06,1.06,1.06,0,0,0
 96-106,0,1.09,0,0,0,0,0,2.19,0,0,0,0
108-118,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,1.96,0,1.96,0,0,0,0
