stage,axial,blastomeres,endocrine_pancreas,endoderm,exocrine_pancreas,eye,glial,gut,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,pericytes,pronephros,somites,spinal_cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0.82,0,0,3.28,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0.81,1.61,0,0,0,3.22,0,0.81,0.81
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,1.15,0,0,0,0.57,0,0,1.72
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0.98,2.94,0,0,0,1.96,0,0.98,7.85
 84-94,0,0,0,0,0,0,1.06,0,1.06,0,0,1.06,0,0,1.06,1.06,0,0,2.12
 96-106,0,0,0,0,1.09,0,1.09,1.09,1.09,1.09,0,1.09,0,0,0,1.09,0,0,3.28
108-118,0,0,0,0,3.06,0,1.53,1.53,0,0,0,3.06,0,0,0,2.3,0,0,6.13
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96
