stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,4.93,0,0.82,0,0,0,0,0,0,0,0,3.28,0,0.82,0,0,0,1.64,0,0,0,0
 36-46,0,0,8.86,0,0,0,0,0,0,0,0,0.81,0,11.28,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,35.58,0.57,0.57,0,0.57,0,0,0.57,0,0.57,0,5.16,0,0,0,0,0.57,1.15,0,0,0,0
 60-70,0,0,410.28,0,0,0,0,0,0,0,0,4.91,0.98,8.83,0,0,0,0,0,1.96,0,0,0,0.98
 72-82,2.94,0.98,778.46,0,0,0.98,5.89,0,0,0,0,8.83,0,19.63,0,1.96,2.94,0,0.98,0,1.96,0,0.98,0
 84-94,1.06,1.06,659.53,0,1.06,0,6.37,1.06,0,1.06,0,8.5,0,12.74,1.06,0,1.06,0,0,0,4.25,0,0,0
 96-106,1.09,2.19,444.79,0,0,0,2.19,0,1.09,0,0,6.56,0,8.74,0,0,4.37,0,0,0,3.28,0,0,0
108-118,3.06,1.53,288,0,0.77,0,3.06,0.77,0,0,0,1.53,0.77,13.79,0,0,2.3,0,0.77,0,4.6,0.77,0,1.53
120,5.88,0,192.06,1.96,0,0,1.96,0,0,0,1.96,1.96,0,9.8,0,0,0,0,0,0,0,0,0,0
