stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,81.82,3.15,0,0,22.03,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,3,58,9,22,0,0,4,0,0,1,0,1,0,0,1,0,15,0,0,9,226,2,1,7,2,3,1,5,1,3,55,0,0,0,0
 24-34,0,0,1.64,9.85,0,22.98,0,0,1.64,0.82,0,0.82,0,0.82,0,0.82,3.28,0,13.13,0,0,4.93,171.56,0.82,3.28,4.1,0,5.75,0,0,0.82,0.82,45.97,0,0,0,0
 36-46,0,0,0,3.22,0,8.06,0,0.81,3.22,1.61,0,0,0,0.81,0,0,0.81,0,4.83,0,0,2.42,125.68,0.81,2.42,1.61,0,0,0,0,0.81,0,20.95,0,0,0.81,0
 48-58,0,0,0,4.02,0,9.18,0.57,0,4.59,0.57,0,0,0.57,0,0,1.15,0.57,0,10.9,0.57,1.72,1.72,51.07,0,0.57,0.57,0,1.15,0,0,0,0,14.35,0,0,0.57,0
 60-70,0,0,0,3.93,0,18.65,1.96,0.98,5.89,1.96,0,0.98,0,0.98,0,0,0.98,0,12.76,0,0,2.94,81.47,0,0.98,0.98,0,5.89,0,0,0,0,11.78,0,0,0,0
 72-82,0,1.96,0,9.82,0,16.69,0.98,1.96,18.65,2.94,0,0,0.98,1.96,0,1.96,0,0,26.5,0,0,2.94,81.48,0,1.96,2.94,0,1.96,0,0,0.98,0,8.83,0.98,0.98,0.98,0.98
 84-94,0,3.19,1.06,9.56,0,15.93,2.12,1.06,6.37,5.31,0,0,1.06,0,0,1.06,1.06,0,12.74,0,1.06,2.12,33.99,1.06,3.19,2.12,0,6.37,0,0,0,0,2.12,0,0,0,0
 96-106,0,1.09,0,5.46,0,10.93,1.09,2.19,15.3,2.19,0,0,2.19,1.09,1.09,1.09,1.09,0,20.76,0,1.09,0,38.25,2.19,1.09,5.46,0,3.28,0,0,1.09,0,3.28,1.09,0,1.09,1.09
108-118,0,1.53,0,14.55,0,6.89,0.77,2.3,5.36,3.06,0,0.77,0.77,1.53,0,0,0.77,0.77,14.55,0,3.83,2.3,58.98,1.53,2.3,3.83,0,0.77,0,0,2.3,0,1.53,0.77,0.77,0.77,0
120,0,0,1.96,23.52,3.92,3.92,0,0,9.8,3.92,0,0,3.92,0,0,1.96,0,0,13.72,0,0,1.96,86.23,0,1.96,5.88,0,5.88,0,0,3.92,0,3.92,0,0,1.96,0
