stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,71,0,0,0,2,8,0,1,3,0,0,4,2,1,1,2,0,0,0
 24-34,0,0,4.93,0,1.64,0.82,0,0,0,2.46,0,138.72,0,0,0,5.75,28.73,0,4.93,28.73,0,0,3.28,0,0,1.64,3.28,0,0.82,0
 36-46,0,0,0.81,0,4.03,0.81,0,0,0,2.42,0,44.31,0,0,0,4.83,8.86,0,3.22,11.28,0.81,0,2.42,0,0,0,0.81,0,0,0
 48-58,0,0,1.72,0,3.44,0,0,1.72,0,1.72,0,19.51,0,0,0,18.94,2.3,0,6.89,12.62,0,0,1.15,0,0,0,5.74,0,0,0
 60-70,0,0,4.91,0,1.96,0.98,0,0.98,0,0.98,0,18.65,0,0,0,45.15,1.96,0.98,4.91,17.67,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,0.98,2.94,1.96,0,13.74,0,2.94,0.98,26.5,0,0,0,76.57,1.96,4.91,9.82,19.63,0.98,0.98,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,9.56,1.06,9.56,2.12,2.12,8.5,0,5.31,0,54.16,0,3.19,0,56.29,4.25,8.5,6.37,6.37,0,0,4.25,0,0,0,0,0,0,1.06
 96-106,0,0,16.39,1.09,14.21,0,1.09,10.93,1.09,8.74,1.09,41.53,0,3.28,1.09,67.76,7.65,12.02,10.93,17.49,1.09,0,2.19,0,0,0,0,1.09,1.09,1.09
108-118,0,0.77,12.26,0.77,6.13,3.06,0.77,13.79,0.77,3.83,0,42.13,0,0.77,0.77,65.11,6.13,9.19,3.83,18.38,1.53,0,0,0,0,0,0,0,0.77,1.53
120,0,0,9.8,0,1.96,0,0,7.84,0,7.84,1.96,19.6,1.96,0,0,90.15,0,0,7.84,23.52,0,1.96,0,0,0,0,1.96,0,1.96,0
