stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,3.93,2.94,70.68,27.49,0,0.98,0,8.83,0,0,0,0.98,0,0,0,0.98,0,10.8,0.98,0,0.98,59.88,0,0,0.98,0,0,3.93,0,0,0,2.94,0,0,3.93,0.98,0.98
 84-94,0,0,0,3.19,3.19,143.38,12.74,0,0,0,7.43,1.06,0,1.06,2.12,0,1.06,1.06,2.12,0,6.37,0,2.12,0,38.23,0,0,0,0,0,7.43,0,0,0,0,1.06,1.06,0,0,0
 96-106,1.09,0,5.46,48.09,45.9,311.46,150.81,3.28,15.3,6.56,51.36,24.04,0,1.09,25.14,8.74,7.65,6.56,29.51,0,126.77,5.46,9.84,22.95,318.02,1.09,14.21,8.74,0,3.28,87.43,1.09,0,0,10.93,4.37,8.74,26.23,12.02,12.02
108-118,0,0,3.06,86.55,39.83,649.54,270.38,3.83,19.15,16.09,81.19,21.45,0.77,0,16.09,12.26,16.85,4.6,29.87,10.72,225.96,6.89,3.83,29.11,628.09,9.19,10.72,19.15,0,4.6,121.79,0,2.3,2.3,17.62,3.06,5.36,21.45,9.96,16.09
120,0,0,1.96,62.71,21.56,295.93,135.23,9.8,1.96,3.92,84.27,7.84,0,3.92,23.52,9.8,0,3.92,13.72,1.96,109.75,3.92,9.8,23.52,446.83,7.84,13.72,13.72,0,1.96,62.71,0,3.92,1.96,11.76,1.96,1.96,17.64,9.8,1.96
