stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,1,22,1,1,0,1,1,0,0,0,2,0,2,7,0,0,0,0,1,0,2,3,6,0,0,0
 24-34,0,0,0.82,4.1,5.75,0.82,0,0,0,1.64,0.82,0,2.46,0,1.64,9.03,1.64,0.82,0,0,0.82,0,0.82,0.82,6.57,0.82,0,0
 36-46,0,0,0,1.61,2.42,0,0,0.81,0,0,0.81,0,1.61,0,0,8.86,0,0.81,0,0,0,0,0,0,4.03,0.81,0,0
 48-58,0,0,0,0,8.03,1.72,0,0.57,0,0,1.15,0,2.3,0,0,4.02,0,0.57,0,0,0,0,0,0,2.3,0,0,0.57
 60-70,0,0.98,0,1.96,29.45,0.98,0.98,0,0,0,2.94,0,1.96,0,0,2.94,0,0,0,0,0.98,0,0,0,0.98,0,0,0
 72-82,0,0.98,0,0,91.29,1.96,0,0,0,0,0.98,0,4.91,0.98,0,1.96,0.98,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,56.29,1.06,0,1.06,0,0,0,0,4.25,0,0,1.06,0,0,0,0,0,0,0,0,1.06,2.12,0,0
 96-106,0,0,0,0,87.43,1.09,1.09,0,0,0,3.28,0,2.19,0,1.09,5.46,1.09,2.19,1.09,0,1.09,0,0,0,1.09,1.09,1.09,0
108-118,0,0,0,1.53,46.72,0.77,1.53,0.77,0,1.53,4.6,0.77,3.06,0,0,1.53,0,1.53,0,0,0,0,0,0,0,2.3,1.53,0
120,0,0,0,1.96,47.03,0,1.96,1.96,1.96,0,5.88,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
