stage,axial,blastomeres,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,taste
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,18.4,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,3.15,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0,9.85,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,1.61,0,0,0,0,0,0.81,0,0,7.25,0,0.81,0,0,0,0,0.81,0
 48-58,0,0,0,1.15,0,0,0,0,0.57,0.57,0,0.57,3.44,0,0,0.57,0,0,0,0.57,0
 60-70,0,0,0,0.98,0.98,0,0,0.98,0,0,0,0.98,3.93,0,0.98,0,0,0,0,0.98,0
 72-82,0,0,0,5.89,0,0,0,0,0,0.98,0,0,4.91,0,0.98,0,0,0,0,1.96,0.98
 84-94,0,0,1.06,0,0,0,0,0,0,1.06,1.06,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,1.09,0,0,3.28,0,0,0,0,2.19,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,3.06,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0
