stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,lateral_line,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,26.29,2.63,13.14,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,15.73,9.44,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1
 24-34,0,0,0,0,0,0,0,0,0.82,0,3.28,0,0,0.82,0.82,0.82
 36-46,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,0,0,0.81
 48-58,0,0,0.57,1.15,0,0,0,0,2.3,0,2.3,0,0,0,0,0
 60-70,0,0,0.98,3.93,0,0,0,0,3.93,0,1.96,0.98,0,0.98,0,0
 72-82,0,0,0,3.93,1.96,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,0,0,1.06,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,1.53,0.77,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0
