stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord
  3-4,39.53,711.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,12.26,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,2.63,2.63,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,3.15,6.29,0,0,0,0
 14-21,0,0,0,7,1,0,1,0,2,0,0,0,1,0,0,0,1,0,1,15,0,0,0,0,4,2,0,4,11,8
 24-34,0,0,0,4.93,0,0,1.64,0.82,13.13,0,0,0,0.82,0,0,0,4.1,0,1.64,15.6,0.82,0,0,0,0.82,0,0,1.64,5.75,1.64
 36-46,0,0,0,0,0,0,1.61,0,12.89,0,0,0,0,0,0,0,1.61,0,0.81,15.31,0,0,2.42,0,0,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,0,1.15,0,10.33,0,0,0,0,0,0,0,2.3,0,0.57,3.44,0,0.57,2.3,0,0,0,0,0,0,1.15
 60-70,0,0,0,1.96,0,0,0.98,0,7.85,0.98,0,0.98,0,0,0,0,0.98,0,0.98,5.89,0,0,1.96,0,0,0,0,0,0,1.96
 72-82,0,0,0,0,0,0.98,2.94,0,9.82,0.98,2.94,0,0,0,0,0,8.83,0.98,0.98,11.78,0,0.98,0.98,0,0,0.98,0,0,0,4.91
 84-94,0,0,0,3.19,0,0,3.19,0,12.74,0,1.06,0,0,1.06,0,0,3.19,0,6.37,1.06,0,1.06,0,0,0,0,0,0,0,2.12
 96-106,0,0,0,3.28,0,0,3.28,0,3.28,0,1.09,1.09,0,1.09,0,0,4.37,0,4.37,5.46,0,0,4.37,0,0,2.19,1.09,0,0,3.28
108-118,0,0,0.77,0,0,0,1.53,0,11.49,0,0,0,0,0,1.53,0,5.36,0,1.53,3.06,0,0.77,4.6,0,0,2.3,0,0,0,1.53
120,0,0,0,1.96,0,0,1.96,0,13.72,0,1.96,0,0,0,0,1.96,1.96,0,1.96,1.96,0,0,0,0,0,1.96,0,0,0,0
