stage,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
 24-34,5.75,0,0.82,0,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0
 36-46,6.45,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0,8.06,0,0,0
 48-58,8.03,1.15,1.15,0.57,0,0,0,0,0,0.57,0.57,0,0,0,6.31,0.57,0,0
 60-70,12.76,2.94,5.89,0,0,0,0.98,0.98,0.98,0,0.98,1.96,0.98,0,17.67,0,0,0
 72-82,8.83,0.98,1.96,0,0,0,0,1.96,0,0.98,0,1.96,0.98,0,11.78,0.98,0,0
 84-94,22.3,1.06,5.31,1.06,1.06,1.06,1.06,2.12,0,2.12,0,3.19,0,0,61.6,0,1.06,0
 96-106,19.67,1.09,3.28,0,2.19,0,2.19,0,1.09,0,0,2.19,0,0,29.51,0,0,0
108-118,16.85,0,5.36,1.53,0,0,0.77,2.3,3.83,0.77,0.77,0.77,0.77,0,32.94,0,2.3,1.53
120,13.72,0,9.8,0,0,0,0,0,3.92,0,0,1.96,1.96,0,39.2,0,0,0
