stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,6.29,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,7,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,89,0,0,0,0,0,0,1,0,6,13,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,30.37,0,0,0,1.64,0,0,0,0,0.82,0,0,0,0,2.46,0,0,4.1,171.56,0,1.64,0,0,0,0.82,0.82,0,0,32.01,0,0,2.46,0,0
 36-46,0,0,0.81,0,0.81,0,0,130.52,0,0,0,0,0,0,1.61,0,0,0,0,0.81,0,1.61,0,0,1.61,221.56,0,0.81,0,0,0,0.81,0.81,0,0,24.98,0,0,0,0,0
 48-58,0,0,0,0,2.3,0,0,973.17,0,0,0.57,8.61,0,0,0.57,0,0,1.72,0,0,0,8.61,0,1.72,2.3,250.75,0,1.15,0.57,0,0,1.72,0,0,0,22.38,0,0.57,1.72,0,0
 60-70,0.98,0,0,0,4.91,0.98,0,3430.42,0.98,1.96,0,21.59,0.98,0,1.96,2.94,0,0.98,0,0,0,29.45,0,2.94,4.91,346.48,0.98,0,2.94,0,0,8.83,1.96,0,0,20.61,0,2.94,2.94,0.98,0.98
 72-82,0,0,2.94,0,58.9,9.82,0.98,4520.55,2.94,9.82,10.8,98.17,6.87,0.98,2.94,3.93,4.91,2.94,0,5.89,0.98,99.15,0.98,4.91,6.87,736.25,0,2.94,5.89,0,0.98,10.8,2.94,0,0,23.56,0.98,5.89,7.85,5.89,7.85
 84-94,0,0,1.06,0,112.58,11.68,0,3653.41,4.25,12.74,4.25,123.2,8.5,0,5.31,4.25,2.12,7.43,2.12,2.12,2.12,98.77,2.12,8.5,10.62,508.72,4.25,2.12,5.31,0,0,16.99,1.06,3.19,0,16.99,3.19,9.56,14.87,8.5,2.12
 96-106,0,0,3.28,0,103.82,16.39,3.28,3287.28,5.46,17.49,4.37,134.42,12.02,0,7.65,18.58,1.09,5.46,0,16.39,1.09,114.75,2.19,3.28,16.39,542.05,5.46,6.56,6.56,0,3.28,25.14,4.37,2.19,0,8.74,10.93,6.56,12.02,5.46,4.37
108-118,0,0,0.77,0,39.06,11.49,0.77,2379.08,0.77,8.43,3.83,67.4,3.06,0,0,7.66,1.53,1.53,0,5.36,0.77,68.17,0.77,6.13,11.49,528.51,6.13,3.83,7.66,0,0,13.02,1.53,0,0,6.13,3.83,1.53,3.06,4.6,1.53
120,0,0,1.96,0,45.08,0,1.96,1979.38,5.88,11.76,5.88,97.99,5.88,0,3.92,7.84,1.96,1.96,1.96,3.92,0,62.71,1.96,0,15.68,762.36,5.88,1.96,7.84,0,0,7.84,0,0,0,5.88,0,3.92,0,0,3.92
