stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,18.39,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,4,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,12,0,0,1,0,0,0,0,8,0,0,0,0
 24-34,0,0,1.64,0,1.64,0,0,3.28,0,0.82,0,0,0,0,1.64,0,9.03,0,0,0,3.28,0,0,0.82,133.8,0,0,0.82,0,0,0,0,55.82,0,0,0,0.82
 36-46,0,0,2.42,0,0,0,0,7.25,0,0,0,0,0,0,0,0,6.45,0,0,0,3.22,0.81,0,0,339.19,0,0,0,0,0,0.81,0.81,72.51,0,0,0,0.81
 48-58,0,0,0.57,0,1.72,0.57,0,49.92,0,0,0,6.89,0.57,0,0,0,2.87,0.57,0,0,20.66,0,0.57,1.72,752.83,0.57,0,0,0,0,0.57,0,106.15,0,0,0,1.15
 60-70,0,0,1.96,0,3.93,0,0,119.75,0,0.98,0,14.72,0.98,0,0,0.98,2.94,0,0,0,21.59,0,0,0,1172.92,0.98,0,0,0,0,0.98,0,142.32,0,1.96,0,0
 72-82,0,0,0,0,10.8,1.96,0,287.63,0,0,0.98,31.41,0,0,0.98,0.98,7.85,1.96,0,0,29.45,0.98,0,1.96,1177.01,0,2.94,0,0,0,0,0.98,90.31,0,2.94,1.96,0
 84-94,0,0,0,0,13.81,2.12,1.06,169.93,1.06,1.06,1.06,35.05,2.12,0,0,1.06,8.5,1.06,0,0,12.74,0,4.25,2.12,605.36,0,0,2.12,0,0,2.12,0,43.54,1.06,2.12,0,0
 96-106,0,0,2.19,0,12.02,0,0,161.74,0,2.19,0,18.58,2.19,0,1.09,1.09,12.02,1.09,1.09,1.09,14.21,0,1.09,0,471.02,0,0,0,0,1.09,2.19,0,15.3,0,4.37,2.19,3.28
108-118,0,0,0,0,8.43,0,0,144,0,0,0,14.55,0.77,0,0,0,15.32,2.3,0,0,6.89,0,0,0.77,547.66,0,0,0.77,0,0,0.77,0,18.38,0,2.3,0,0
120,0,0,0,0,11.76,1.96,0,129.35,0,0,1.96,13.72,1.96,0,0,0,15.68,1.96,0,0,15.68,0,1.96,3.92,709.44,0,1.96,0,0,0,0,0,35.28,0,0,0,1.96
