stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,18.88,6.29,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,0,1,3,0,0,2,0,0,3,0,6,2,0,4,25,0,0,3,0,0,0,0,6,3,7,70,20,0,0,1,0,0
 24-34,0,0,0,1.64,0,0,4.1,0,0,0,3.28,0,0,0,41.04,0,0,5.75,0,1.64,5.75,0.82,0.82,46.79,0,1.64,4.1,0,0,0.82,0,0,0.82,1.64,4.93,24.63,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,8.06,0,0.81,1.61,2.42,0,0,0,16.92,0,0.81,1.61,0,3.22,4.83,0,0,79.76,0,4.03,3.22,0,0,0,0,0,0,1.61,0,29,0,0,0.81,0,0
 48-58,0,0,0,1.72,0,0,43.61,0,0,0.57,1.72,1.15,0,0,12.05,0,1.72,2.3,0.57,8.61,4.59,0.57,3.44,71.15,0,5.16,2.3,0,0.57,2.3,0,0,0,0.57,0,20.66,0,0,1.15,0,0
 60-70,0,2.94,0,4.91,0,0,192.38,0.98,0.98,0.98,14.72,8.83,0,0,10.8,0,4.91,1.96,0,6.87,6.87,0.98,0,102.08,0,6.87,0.98,0,0,1.96,0,0,0.98,0,0,24.54,0.98,0,0.98,0,0
 72-82,0,1.96,0,1.96,0,0,245.42,0,0,0,26.5,23.56,0.98,0.98,45.16,0.98,8.83,0.98,0,20.61,8.83,1.96,0.98,173.75,0,8.83,19.63,0,0.98,7.85,0,0,0,0,0,22.58,0.98,0,1.96,0.98,0.98
 84-94,0,2.12,0,8.5,0,1.06,202.85,0,0,0,16.99,53.1,0,2.12,40.36,0,7.43,2.12,0,13.81,10.62,2.12,0,95.58,0,5.31,12.74,0,0,26.55,0,0,1.06,0,0,7.43,3.19,0,1.06,4.25,0
 96-106,0,3.28,0,15.3,1.09,2.19,196.71,0,1.09,2.19,21.86,96.17,0,3.28,83.06,1.09,36.06,2.19,0,13.11,16.39,1.09,2.19,113.66,0,14.21,21.86,0,0,19.67,0,0,2.19,0,0,7.65,0,0,5.46,1.09,1.09
108-118,0,1.53,0,13.79,0.77,26.04,186.89,0,0.77,0,19.15,150.13,0,0.77,72,0.77,24.51,1.53,0,13.02,13.02,0.77,1.53,124.85,0,11.49,13.02,0,0,16.09,0,0,1.53,0,0,7.66,0.77,0.77,6.89,3.06,0.77
120,0,3.92,5.88,13.72,0,9.8,174.42,0,1.96,1.96,23.52,145.02,0,1.96,48.99,0,11.76,3.92,0,11.76,1.96,0,3.92,197.94,0,19.6,11.76,0,0,9.8,0,0,5.88,0,0,19.6,0,0,1.96,3.92,0
