stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,355.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,21.03,7.89,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720.27,5.26,0,0,120.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,15.73,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.99,9.44,0,0,72.38,0,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,0,13,9,17,0,1,0,8,4,0,1,0,1,0,0,0,1,13,0,0,23,367,3,0,1,6,0,0,27,6,1,44,88,0,3,0,0
 24-34,0,0.82,0,9.85,0.82,42.68,0,0,4.1,15.6,0.82,0,1.64,0,3.28,0,1.64,0,1.64,53.36,0,0,36.94,1182.85,0.82,0.82,4.1,0,0,7.39,0,2.46,0.82,9.85,140.37,0,18.06,0,0.82
 36-46,0,0,0,2.42,0.81,53.98,0,0.81,4.83,62.04,0.81,0.81,3.22,0,0,2.42,2.42,0,1.61,68.48,0.81,2.42,28.2,982.11,0.81,0,1.61,0,0,5.64,0,1.61,0,0,154.69,0,8.06,0.81,3.22
 48-58,0,0,0,2.87,0,57.38,0.57,1.15,5.16,90.09,0,0.57,1.15,1.15,0,2.3,0,0,1.15,108.45,1.15,0.57,28.69,400.52,0,1.15,0,0,0,6.31,0,1.15,0,0,106.73,0,6.89,0,0.57
 60-70,0,0,0,7.85,0,42.21,0,0.98,2.94,69.69,0.98,0,0.98,2.94,0,0,0,0,0,115.82,1.96,1.96,15.7,152.14,0.98,0,1.96,0,0.98,8.83,0,0.98,0,0,31.41,1.96,4.91,0,0
 72-82,0,0,0,2.94,2.94,27.49,0.98,0.98,12.76,78.53,0,0.98,0.98,0.98,1.96,0.98,0,0,0,132.52,0.98,1.96,15.71,129.58,0,0,0,0,0,5.89,0,1.96,0,0,3.93,0.98,6.87,0.98,0.98
 84-94,1.06,0,0,5.31,0,33.99,0,0,7.43,42.48,5.31,1.06,3.19,6.37,1.06,6.37,0,0,0,76.47,2.12,1.06,16.99,83.9,0,0,2.12,0,1.06,22.3,0,8.5,0,0,6.37,2.12,6.37,1.06,0
 96-106,0,0,0,6.56,2.19,26.23,0,1.09,3.28,48.09,1.09,1.09,3.28,3.28,1.09,2.19,0,1.09,1.09,72.13,3.28,2.19,9.84,92.89,1.09,1.09,1.09,0,0,16.39,0,2.19,0,0,2.19,2.19,10.93,0,0
108-118,0,0,0,6.13,0,25.28,0,0,1.53,26.81,1.53,0,0.77,3.06,0,2.3,0.77,0,0,51.32,0.77,1.53,3.83,111.06,0,0.77,2.3,0,3.06,6.13,0,3.06,0,0,2.3,2.3,1.53,1.53,0.77
120,0,0,0,7.84,1.96,21.56,0,0,3.92,33.32,0,0,0,7.84,0,3.92,0,1.96,1.96,33.32,1.96,0,5.88,86.23,0,1.96,5.88,0,3.92,19.6,0,1.96,0,0,0,0,1.96,0,0
