stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,47,0,0,0,0,0,0,1,0,0,32,1,0,1,6,0,0,0,0,0,0,0,2,0,0,0,0,43
 24-34,0,0,0.82,0,0,151.04,0,0,0,0,0,0,6.57,0,0,132.16,2.46,0,0.82,33.66,0,0,0,0,0,4.1,0,4.93,0,0,2.46,0,153.5
 36-46,0,0,0,0,0,111.18,0,0,0.81,0,1.61,0,4.03,0,0.81,146.63,2.42,0,0.81,20.14,0.81,0.81,0,0,0,0.81,0.81,4.83,0,0,0,0,124.07
 48-58,0,0,0.57,0.57,0,124.52,0,0,2.3,0,1.15,0,7.46,0,0,105.58,3.44,0,1.72,22.38,0,0,0.57,0,0,0.57,0.57,3.44,0,0,1.72,0,122.79
 60-70,0,0,0,0,0,134.47,0.98,0,0,0,8.83,0,22.58,0,0,73.61,2.94,0,0,20.61,1.96,0,0,0,0,0,1.96,1.96,0,0,0.98,0,142.32
 72-82,0,0,3.93,0.98,0,120.74,0,0.98,2.94,0,12.76,0,18.65,0,0.98,61.84,17.67,3.93,0.98,10.8,0,0,0.98,0,0,0.98,14.72,0.98,0,0,3.93,0,103.07
 84-94,0,1.06,2.12,1.06,0,236.83,0,1.06,2.12,0,20.18,0,27.61,0,0,103.02,7.43,1.06,1.06,13.81,0,0,0,0,0,2.12,25.49,0,0,0,2.12,0,66.91
 96-106,0,0,6.56,1.09,1.09,197.81,1.09,0,5.46,0,22.95,1.09,26.23,0,0,73.22,20.76,1.09,2.19,10.93,0,1.09,0,0,1.09,2.19,19.67,1.09,0,1.09,1.09,1.09,62.29
108-118,0,0,1.53,0,0.77,194.55,0,0,0.77,0.77,6.13,0,18.38,0,0,99.58,11.49,0,1.53,7.66,0.77,0,0,0,0,0.77,16.85,1.53,0,0.77,0,0,58.98
120,0,0,0,0,0,76.43,0,1.96,0,1.96,5.88,1.96,19.6,1.96,0,39.2,13.72,0,3.92,3.92,0,0,0,0,0,0,11.76,0,1.96,0,1.96,0,11.76
