stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,6,122,35,0,55,0,3,0,6,2,3,2,3,3,0,0,13,21,57,0,0,44,361,93,3,10,4,0,19,0,31,18,8,54,90,0,0,31,0,12
 24-34,0,4.93,9.85,108.35,12.31,0,104.25,0.82,17.24,10.67,22.98,1.64,0,11.49,17.24,29.55,5.75,4.93,10.67,46.79,149.4,1.64,3.28,72.24,785.56,52.53,9.03,13.95,0,0,114.1,0,1.64,32.01,3.28,30.37,172.38,0,0,181.41,0,72.24
 36-46,0,4.03,0,53.98,6.45,0,71.7,4.03,12.89,21.75,62.04,4.83,0,7.25,24.98,4.03,6.45,10.47,1.61,40.28,261.04,3.22,4.03,75.73,514.02,30.62,4.83,8.06,0,0.81,91.04,1.61,1.61,23.36,1.61,1.61,155.49,0,2.42,132.94,0,63.65
 48-58,0.57,0.57,1.15,33.85,6.31,0,93.53,1.15,13.2,30.41,106.73,2.3,6.31,13.77,28.12,4.59,16.07,10.33,6.89,31.56,385.02,5.16,9.75,68.86,193.37,14.35,5.16,9.75,0,0.57,57.95,0,0,11.48,1.72,0,82.05,0,2.87,108.45,0,52.79
 60-70,0,3.93,0,46.13,9.82,0,69.69,1.96,24.54,18.65,136.43,7.85,3.93,8.83,33.37,3.93,31.41,12.76,5.89,11.78,641.92,6.87,17.67,45.15,137.41,9.82,4.91,10.8,0,5.89,59.87,0,0,17.67,0,0,28.46,0,9.82,94.23,5.89,36.32
 72-82,0,9.82,0,68.72,24.54,0,94.24,7.85,16.69,42.21,175.72,21.6,4.91,33.38,55.95,14.72,24.54,14.72,4.91,20.61,875.64,4.91,26.5,64.79,146.27,4.91,5.89,15.71,0,4.91,79.51,0,0,30.43,0.98,0,18.65,9.82,25.52,209.09,29.45,36.32
 84-94,0,3.19,0,114.7,33.99,2.12,120.01,5.31,31.86,25.49,103.02,54.16,8.5,9.56,84.96,31.86,35.05,12.74,12.74,31.86,625.54,4.25,26.55,41.42,93.46,11.68,6.37,16.99,0,7.43,191.17,0,0,35.05,1.06,0,13.81,15.93,16.99,168.86,22.3,32.92
 96-106,0,5.46,0,102.73,29.51,4.37,86.33,3.28,30.6,17.49,114.75,78.68,0,22.95,98.36,34.97,31.69,16.39,14.21,24.04,557.35,6.56,24.04,45.9,102.73,8.74,18.58,22.95,0,7.65,198.9,0,0,38.25,0,0,6.56,6.56,21.86,195.62,32.79,41.53
108-118,0.77,3.06,3.06,116.43,30.64,6.89,75.83,8.43,32.94,19.15,99.58,56.68,0,8.43,65.11,33.7,39.83,13.02,29.11,24.51,448.85,7.66,14.55,34.47,86.55,11.49,13.02,15.32,0,13.02,128.68,0.77,0,36.77,1.53,0,4.6,19.92,11.49,164.68,27.57,45.19
120,0,7.84,1.96,97.99,33.32,7.84,29.4,7.84,35.28,15.68,58.79,62.71,0,15.68,96.03,17.64,17.64,9.8,21.56,11.76,341,9.8,17.64,29.4,101.91,17.64,11.76,25.48,0,7.84,139.14,0,0,31.36,1.96,0,0,9.8,7.84,125.43,19.6,15.68
