stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,2.46,0,0,0,0,0,0,0.82,0.82,0,4.1,0,1.64,0.82,0,3.28,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,1.61,0,0,2.42,0.81,8.86,0.81,0.81,0,0,4.03,14.5,0,0,0,0,0
 48-58,0.57,1.72,0,1.15,0.57,0,1.15,0,0,2.3,0.57,3.44,0,0,0,0,1.72,2.3,0,0,0,0,0.57
 60-70,0,1.96,0,0,1.96,0,0,0,0,4.91,0,5.89,0,0,0,0,0.98,4.91,0,0,0,0,0
 72-82,0,4.91,0,0.98,0,0,2.94,0,0,4.91,0,3.93,0,0,0.98,0,1.96,0.98,0,0,0,0,0
 84-94,0,5.31,1.06,2.12,1.06,0,3.19,0,0,7.43,0,5.31,0,2.12,0,1.06,12.74,2.12,1.06,1.06,1.06,0,0
 96-106,0,7.65,0,1.09,3.28,1.09,2.19,0,0,6.56,1.09,7.65,0,1.09,0,0,7.65,1.09,0,0,0,0,0
108-118,0,7.66,0,0,3.06,0.77,0.77,0.77,0,0.77,0,3.06,0,0.77,0,0,3.83,0,0.77,0,0,0.77,0
120,0,5.88,0,0,3.92,0,0,0,0,5.88,1.96,0,0,0,0,0,3.92,0,0,0,0,0,0
