stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,0,193,65,3,0,0,0,0,0
 24-34,0,0,0,3.28,0.82,0,4.1,139.55,0,0,0.82,0,0,0.82,0,0,0,0,4.1,0,0,20.52,41.04,10.67,0,0.82,0,0,4.1,0,0,0,151.04,68.95,5.75,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,6.45,335.96,0,0.81,1.61,0,0,0,0.81,0,0,0.81,4.83,0,0,13.7,53.17,11.28,0.81,1.61,0,0,3.22,0,0,0.81,143.41,8.06,8.86,0,0,0,0,0
 48-58,0.57,0,0,0,0.57,0,28.12,331.09,0,0,5.16,0,0,1.15,0,0,0,2.87,12.62,0,0.57,17.21,68.86,6.31,0.57,0,0,0.57,1.15,0,0,0,127.38,0,13.2,0,0,0.57,0,1.72
 60-70,0,0,0,0.98,0.98,0,28.46,211.03,0,0.98,2.94,0,0,0,0,0,0,2.94,7.85,0,0,11.78,39.26,7.85,0,0,0.98,0,3.93,0,0,0,61.84,0,3.93,0,2.94,0.98,0,1.96
 72-82,0,0,0.98,1.96,2.94,0,23.56,180.63,0,0.98,5.89,0,0,0,0,1.96,0,0.98,12.76,0.98,0,14.72,34.36,1.96,0,0,0.98,0,1.96,0,0,0,44.17,0,1.96,0,0.98,0.98,0,0.98
 84-94,0,0,0,4.25,7.43,2.12,22.3,280.38,0,0,2.12,0,0,1.06,0,1.06,3.19,6.37,18.05,1.06,0,16.99,31.86,0,1.06,0,0,0,7.43,0,0,0,74.34,0,3.19,1.06,2.12,1.06,0,0
 96-106,0,0,0,4.37,4.37,1.09,29.51,412,5.46,0,9.84,4.37,2.19,2.19,2.19,1.09,1.09,3.28,14.21,1.09,0,19.67,42.62,2.19,2.19,0,1.09,1.09,14.21,1.09,0,0,92.89,0,2.19,1.09,0,4.37,1.09,2.19
108-118,0,0,0.77,4.6,3.06,0.77,12.26,300.26,0,0,5.36,0,0,0,2.3,0.77,1.53,6.89,13.02,0.77,0.77,32.17,36.77,3.83,0.77,0.77,0,0,7.66,0,0,0,65.87,0,1.53,0,3.06,0.77,0.77,0
120,0,0,0,9.8,1.96,0,5.88,184.22,0,0,5.88,0,0,0,0,1.96,0,3.92,5.88,0,0,37.24,15.68,3.92,1.96,0,0,0,0,0,0,0,23.52,0,1.96,0,3.92,0,0,0
