stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,10.51,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.95,10.51,0,0,57.83,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,0,22.03,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,107,3.15,0,0,50.35,0,0,0,0,12.59,3.15,0,0,0,0,0
 14-21,0,0,2,14,5,0,11,0,0,0,1,0,1,0,0,0,0,0,0,0,10,0,0,5,69,0,1,1,0,0,3,1,7,1,38,24,0,1,0,0
 24-34,0,0,0.82,8.21,0.82,0,22.16,0,0.82,0,2.46,0,0,0,0.82,0.82,0,0.82,0.82,0.82,16.42,0,0,9.85,145.29,0.82,1.64,2.46,0,0,2.46,0,0,0.82,7.39,33.66,0,9.03,0,0
 36-46,0,0,0,12.89,0,0,32.23,0,0,0,5.64,0.81,0,0.81,0.81,0,0,0,0,0,17.72,0,0,7.25,146.63,0,1.61,1.61,0,0,4.03,0,0,0,0,32.23,0,5.64,0,1.61
 48-58,0,0,0,8.61,0,0,47.63,1.15,2.3,1.15,13.77,0,0,0,0,0.57,0.57,0,0.57,1.72,14.92,0.57,0.57,4.59,99.84,0,1.72,0.57,0,0.57,1.72,0,0,0,0,20.08,0,6.89,0,0
 60-70,0,0,0,12.76,0,0,78.52,0,3.93,0.98,23.56,0,0,0,1.96,0,0,0,0,0,25.52,0.98,0.98,4.91,126.62,0,2.94,0.98,0,0,3.93,0,0,0,0,24.54,0,0.98,0,0
 72-82,0,0,0,9.82,2.94,0,71.66,0,1.96,0.98,32.39,1.96,0,0,0.98,0,0,0.98,0,0,19.63,0,0.98,1.96,128.6,0,0.98,0.98,0,0,2.94,0,0,0,0,8.83,0.98,11.78,0,1.96
 84-94,0,0,0,24.43,2.12,1.06,44.61,1.06,0,2.12,8.5,0,0,0,2.12,2.12,0,0,0,0,14.87,1.06,1.06,2.12,57.35,0,1.06,3.19,0,0,6.37,0,0,0,0,3.19,1.06,7.43,1.06,1.06
 96-106,0,0,0,10.93,2.19,0,39.34,1.09,1.09,0,9.84,2.19,0,1.09,2.19,0,0,0,0,0,12.02,0,1.09,4.37,57.92,0,1.09,3.28,1.09,1.09,5.46,0,0,0,0,5.46,0,7.65,0,1.09
108-118,0,0,0,21.45,1.53,3.83,48.26,0,5.36,0.77,16.85,2.3,0,0,3.83,3.06,0,0.77,0,0,10.72,0.77,0.77,2.3,49.02,0.77,1.53,1.53,0,0.77,5.36,0,0,0,0,4.6,1.53,6.89,0,0.77
120,0,0,0,15.68,0,1.96,33.32,0,1.96,0,29.4,5.88,0,0,0,0,1.96,3.92,0,0,9.8,1.96,1.96,0,72.51,0,3.92,3.92,0,0,1.96,0,0,0,0,0,0,1.96,0,0
