stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,45,0,0,0,0,9,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,1.64,0,1.64,9.85,188.8,0,0,0,0,22.16,0,0,0,0
 36-46,0.81,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,2.42,0,1.61,12.89,242.51,0,0,0.81,0,23.36,0,0.81,0,0.81
 48-58,1.15,0,0,1.15,0,0,7.46,0,0.57,0.57,1.15,0,0,0,0,0,10.33,0,9.18,13.77,184.19,0.57,0,0,0.57,8.61,0,0,0,0
 60-70,1.96,0,0,0,0,0,13.74,0,0,0,0,0,0,0,0,0,13.74,0.98,2.94,13.74,138.39,0,0,0,0,9.82,0.98,0,0,0
 72-82,0,0.98,0,0,0.98,0,12.76,0.98,0,1.96,0.98,0,0.98,0.98,0.98,0,22.58,0,11.78,23.56,108.96,1.96,0,0,0,11.78,0,0,0,0.98
 84-94,1.06,0,0,3.19,0,0,14.87,0,0,2.12,2.12,1.06,0,0,0,0,22.3,0,9.56,10.62,170.99,0,0,1.06,0,10.62,0,0,1.06,0
 96-106,0,0,0,8.74,2.19,0,29.51,1.09,1.09,0,1.09,1.09,0,0,1.09,0,24.04,0,10.93,25.14,131.14,4.37,0,4.37,0,0,1.09,1.09,0,1.09
108-118,1.53,0,0.77,12.26,1.53,1.53,41.36,0,0.77,2.3,3.06,1.53,0,0.77,0,0.77,33.7,0,14.55,21.45,150.89,3.83,0,0.77,0,3.83,2.3,0,0,1.53
120,3.92,0,0,5.88,0,0,23.52,0,1.96,1.96,3.92,0,0,0,0,5.88,45.08,0,3.92,23.52,237.13,0,0,0,0,5.88,3.92,1.96,1.96,5.88
