stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,26.29,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.59,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,1,8,2,3,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,1.64,1.64,4.93,1.64,0,0,0,33.66,0,2.46,0,0,0
 36-46,0,0.81,0,1.61,0,0,0,0,0,1.61,0.81,15.31,0,0,1.61,0,16.92,0,0.81,0,0,0
 48-58,0,0,0,3.44,0,1.15,0,0,0,1.72,0,9.18,0.57,0,0.57,0,12.05,0,0,0,0,0.57
 60-70,0,0,0,1.96,0,1.96,0.98,0,0,1.96,0,6.87,0,0,0.98,0,9.82,0,0,0,0,0
 72-82,0,0,0.98,5.89,0.98,0.98,0,0,0,4.91,0,8.83,0.98,0,0,0,10.8,0,0,0,0,0
 84-94,0,0,0,3.19,0,1.06,0,0,1.06,1.06,0,3.19,0,0,1.06,0,16.99,0,1.06,1.06,0,0
 96-106,0,3.28,1.09,3.28,0,1.09,1.09,1.09,0,1.09,0,0,0,0,1.09,0,18.58,0,0,0,0,1.09
108-118,0,0,0.77,0.77,0,1.53,0,0,0,1.53,0,5.36,0,0,0,0,17.62,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,3.92,0,0,1.96,0,11.76,0,0,0,1.96,0
