stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,29,7,0,12,0,0,0,3,1,0,0,0,0,0,0,1,18,0,0,14,119,6,1,2,3,0,2,23,3,4,27,40,0,0,3,0,0
 24-34,0,0,7.39,0.82,0,18.88,0.82,0,1.64,3.28,0,0.82,0,1.64,0,0,0.82,0.82,25.45,0,0,16.42,100.14,2.46,1.64,1.64,0,0,5.75,0,0.82,0,2.46,23.8,0,0,7.39,0,0
 36-46,0,0,6.45,0,0,11.28,0,0,2.42,9.67,0.81,3.22,0,0,0,0,0,0.81,32.23,0,0.81,8.06,80.57,0.81,1.61,1.61,0,0,5.64,0,0,2.42,0,23.36,0,0,3.22,0,1.61
 48-58,0,0,0,0,0,13.2,0.57,1.15,1.15,16.07,0,1.72,0,0,0,0,0,0,36.72,0,1.15,1.72,24.67,2.3,1.72,2.87,0,0,2.3,0,0,0,0,7.46,0,0,1.72,0,1.15
 60-70,0,0,2.94,0.98,0,21.59,0,0.98,0.98,9.82,0,0.98,0,0,0.98,0,0,0.98,45.15,0,1.96,4.91,28.46,0,2.94,0,0,0,6.87,0,0,0.98,0,5.89,0.98,0,2.94,0,0.98
 72-82,0,0,4.91,0.98,0,31.41,0,0,4.91,23.56,0.98,2.94,0.98,1.96,0,2.94,0,0.98,109.95,0,2.94,6.87,28.47,0,5.89,1.96,0,0.98,0.98,0,0,0,0,5.89,0.98,4.91,5.89,3.93,5.89
 84-94,0,0,9.56,3.19,0,23.36,0,1.06,0,19.12,2.12,3.19,0,1.06,0,4.25,0,0,54.16,2.12,2.12,5.31,19.12,3.19,4.25,0,0,0,11.68,0,2.12,0,0,7.43,1.06,4.25,3.19,1.06,1.06
 96-106,1.09,0,5.46,0,0,10.93,2.19,0,1.09,17.49,1.09,0,0,0,0,3.28,1.09,0,56.83,1.09,3.28,0,8.74,1.09,2.19,8.74,0,2.19,3.28,0,0,0,0,2.19,0,1.09,2.19,3.28,0
108-118,0.77,0,3.83,0.77,0.77,6.89,0.77,3.83,1.53,6.13,0.77,0.77,0.77,0,1.53,0.77,0,0,49.79,0.77,0,0.77,20.68,0.77,4.6,9.19,0,0.77,6.13,0,0,1.53,0,1.53,0.77,1.53,3.06,0.77,2.3
120,0,0,5.88,1.96,0,15.68,0,3.92,1.96,1.96,5.88,0,3.92,1.96,3.92,1.96,0,0,17.64,0,0,1.96,11.76,3.92,1.96,3.92,0,1.96,9.8,0,0,1.96,0,0,0,0,0,0,0
