stage,epidermis,eye,fin_epithelia,fin_mesenchyme,immune,ionocyte,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  7-9,0,0,0,0,0,0,0,2.63,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,3.15,0
 24-34,0,0,0,0,0,0,0,0.82,0,6.57,0
 36-46,0,0,0,0,0,0,0,0.81,0,6.45,0
 48-58,0,0,0,0,0,0,0,0,0,8.03,0.57
 60-70,0,0,0,0,0,0,0.98,0,0,2.94,0
 72-82,0,0,1.96,0,0,0,0,0,0,5.89,0
 84-94,1.06,1.06,0,0,1.06,0,0,0,0,19.12,0
 96-106,6.56,1.09,0,0,0,2.19,0,2.19,0,25.14,0
108-118,5.36,0,0,0.77,0,0,1.53,1.53,0,21.45,0
120,9.8,0,1.96,0,0,0,0,3.92,0,25.48,0
