stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,81.49,0,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,7,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,1,0,0,2,1,4,9,0,0,0,0
 24-34,0,0,0,0,3.28,0,3.28,0,0.82,0,0.82,0,0,0.82,0,0.82,0,0,0,0,9.85,0,0,4.93,102.61,3.28,1.64,1.64,0,3.28,0,0.82,1.64,27.09,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,14.5,0,0,0.81,3.22,0,0,0,0,0,0,0.81,0,0,4.83,0,0,1.61,66.87,0.81,0,0,0,3.22,0,0,0,9.67,0,0,0,0
 48-58,0,0,0,0,0.57,0,10.9,0,0,1.15,1.72,0,0,0,0,0,0,0,1.15,0,4.59,0,0,1.15,39.59,0,0,0,0,2.3,0,0,0,6.89,0,0,0,0
 60-70,0,0,0,0,2.94,0,16.69,0,1.96,0,5.89,0,0,0,0.98,0.98,0,0,0,0,10.8,0.98,0,1.96,53.98,0.98,1.96,1.96,0,0.98,0,0.98,0,8.83,0,1.96,0,0
 72-82,0,0,0,0,3.93,0,25.52,0,1.96,0.98,8.83,0.98,0,0,0.98,0.98,0,0.98,0,0,16.69,0,0,0.98,64.79,0,0,0,0,0.98,0,0,0,8.83,0.98,2.94,0.98,0.98
 84-94,0,0,1.06,0,3.19,0,6.37,0,0,0,8.5,1.06,0,0,1.06,0,0,1.06,0,1.06,5.31,0,1.06,1.06,25.49,0,1.06,0,0,2.12,0,1.06,0,3.19,1.06,0,1.06,0
 96-106,0,0,0,0,2.19,0,3.28,0,0,0,2.19,1.09,0,0,0,0,1.09,1.09,0,0,12.02,0,0,0,10.93,0,1.09,1.09,0,5.46,0,0,0,2.19,0,0,0,0
108-118,0,0,0,0,4.6,0.77,6.89,0,0,0.77,1.53,0.77,0,0,1.53,0.77,0.77,0,0,0,11.49,0,0,0,20.68,0,0,0,0,0.77,0,0,0,2.3,0,0,0,0
120,0,0,0,0,3.92,1.96,1.96,1.96,0,0,7.84,1.96,0,0,0,0,0,0,0,0,9.8,0,1.96,1.96,33.32,0,0,1.96,0,3.92,0,0,0,0,0,1.96,0,0
