stage,endoderm,epidermis,eye,glial,hatching_gland,heart,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,spinal_cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,4.1,0.82,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,1.61,0,0,9.67,0.81,0,0,4.83,0,1.61
 48-58,0.57,0.57,1.15,1.72,0,1.15,0,0,5.16,0,0,5.16,0,0,0,8.03,0,1.72
 60-70,0,0,0,7.85,0.98,0,4.91,0.98,10.8,0,0,15.7,0,0,0,5.89,0.98,0.98
 72-82,0,0,5.89,14.72,0.98,0,1.96,0,17.67,0,0,31.41,0,0.98,0,6.87,0,0
 84-94,0,0,3.19,5.31,0,0,0,0,19.12,0,0,6.37,0,0,1.06,3.19,0,1.06
 96-106,0,1.09,3.28,5.46,0,0,4.37,1.09,22.95,2.19,1.09,19.67,0,0,0,7.65,1.09,0
108-118,0,0.77,0.77,5.36,0,0,2.3,0,23.74,0.77,0.77,21.45,0,1.53,0,0.77,0,0
120,0,1.96,0,3.92,0,0,3.92,0,41.16,0,1.96,17.64,0,0,0,1.96,0,1.96
