stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,15.73,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,1,0,0,0,0,0,0,6,0,0,0,1,0,2,2,0,0,0,0
 24-34,0,2.46,0,4.93,0,0.82,0,0,0.82,1.64,0,1.64,14.78,0.82,0,0,0,0,0,5.75,0,0.82,0,1.64
 36-46,0,0.81,0,3.22,0,0.81,0,0,1.61,2.42,0,0,17.72,0.81,0,0,0,0,0,2.42,0,0.81,0,3.22
 48-58,0,0.57,0,8.03,0,2.3,0,0,0.57,2.3,0.57,1.15,17.79,0,0,0.57,0,0,0,2.87,0,0,0,1.15
 60-70,0,1.96,0,10.8,0.98,2.94,0,0,0,3.93,0,0.98,11.78,0,0,0.98,0,0,0,2.94,0.98,0,0,0
 72-82,0,0.98,0,8.83,0,1.96,0,0,0,2.94,0,0.98,10.8,0.98,0,0,0,0,0,0.98,0,0.98,0.98,1.96
 84-94,0,0,0,6.37,0,2.12,0,0,1.06,6.37,0,0,5.31,0,0,0,0,0,0,0,1.06,2.12,0,0
 96-106,0,0,1.09,4.37,0,2.19,0,0,0,2.19,0,0,4.37,0,0,0,0,1.09,0,0,0,0,0,1.09
108-118,0,0.77,1.53,1.53,0,3.06,1.53,0.77,0.77,0.77,0.77,0,9.19,0,0,0,0,0,0,0,0,0,0,3.83
120,0,1.96,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,1.96,0,0,0,0
