stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,gut,immune,iridophores,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,26.36,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0.57,0,0,0,0,2.87,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0.98,1.96,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,0,0,0,3.93,0,0,1.96
 84-94,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,1.09,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,3.83,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
