stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,685.25,12387.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.45,0,0,0,0,0,0,0,0,0,0,0
  5-6,600.7,7036.82,0,18.39,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,165.5,12.26,0,0,91.94,0,116.46,0,0,0,0,0,0,0,0,0,0,0
  7-9,81.49,128.81,0,328.59,0,0,0,412.71,0,0,0,0,131.44,0,0,0,0,0,0,0,0,0,0,0,3580.31,65.72,0,0,1256.52,0,0,28.92,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,81.82,0,132.17,0,15.73,0,292.67,0,0,0,0,66.09,0,0,0,0,0,0,0,0,0,0,0,2637.16,66.09,0,0,1054.23,0,0,9.44,6.29,132.17,0,3.15,9.44,0,0,0,0,0
 14-21,0,2,0,39,466,262,0,377,0,0,82,12,2,2,1,19,1,2,1,0,294,0,0,213,4225,131,20,52,146,0,52,4,497,23,2,486,1296,0,0,13,0,0
 24-34,0,0,0,13.95,128.05,112.46,0,923.46,5.75,4.1,83.73,4.93,2.46,4.93,12.31,15.6,8.21,8.21,7.39,2.46,439.16,4.1,1.64,165.81,4148.61,27.09,39.4,50.89,0.82,0,88.65,0,1.64,2.46,1.64,36.94,946.45,0,0,55,0,8.21
 36-46,0,0,0,2.42,62.04,27.39,0,1364.8,3.22,2.42,79.76,4.83,0,4.83,4.03,3.22,5.64,5.64,6.45,0,322.27,0,8.86,88.62,2338.05,11.28,25.78,20.95,0,0,49.15,0.81,0.81,2.42,0.81,0,539.8,0,0,27.39,0,7.25
 48-58,0.57,0,0,0,64.27,13.2,0,1424.18,4.59,8.03,105.58,5.74,0,5.16,5.16,1.72,5.74,7.46,2.3,0.57,360.92,0.57,17.21,88.37,1101.71,6.89,6.89,12.62,0,0,18.36,0,0.57,0.57,0.57,0,172.14,0,0,18.36,0,5.74
 60-70,0,0,0,0,55.95,5.89,0,833.31,5.89,3.93,104.04,13.74,0,0.98,6.87,2.94,4.91,3.93,3.93,0,239.49,0.98,17.67,45.15,566.34,0.98,4.91,11.78,0,0,9.82,0,0,0.98,0,0,32.39,0.98,0,15.7,0,2.94
 72-82,0,0,0.98,0,61.84,8.83,0,364.2,1.96,9.82,126.63,21.6,0,2.94,13.74,10.8,3.93,3.93,3.93,0.98,294.5,0.98,15.71,56.94,468.25,7.85,7.85,11.78,0,2.94,10.8,0,0,1.96,0,0,16.69,1.96,1.96,24.54,2.94,2.94
 84-94,0,0,0,1.06,94.52,23.36,3.19,355.78,3.19,11.68,90.27,37.17,0,2.12,12.74,5.31,3.19,8.5,10.62,0,228.34,1.06,15.93,59.47,408.88,6.37,9.56,15.93,0,1.06,31.86,0,0,3.19,0,0,14.87,5.31,2.12,30.8,3.19,0
 96-106,0,0,2.19,0,81.96,30.6,1.09,298.35,1.09,1.09,78.68,22.95,0,4.37,32.79,5.46,3.28,9.84,12.02,1.09,145.35,2.19,7.65,39.34,339.88,2.19,15.3,19.67,0,4.37,19.67,0,0,9.84,0,0,3.28,4.37,3.28,33.88,4.37,0
108-118,0,0,0,0.77,65.87,37.53,0.77,221.36,3.06,6.89,94.98,16.09,0,0.77,32.94,4.6,9.19,5.36,9.96,0.77,145.53,0.77,4.6,42.89,461.88,0.77,14.55,9.19,0,0.77,19.92,0,0,0.77,0,0,6.13,3.06,0.77,36.77,0.77,0.77
120,0,0,0,0,37.24,48.99,0,199.9,3.92,3.92,97.99,11.76,0,1.96,27.44,3.92,1.96,5.88,5.88,0,113.67,0,1.96,50.95,354.72,3.92,1.96,15.68,0,0,15.68,0,0,1.96,1.96,0,3.92,0,0,19.6,0,1.96
