stage,epidermis,erythrocytes,eye,fin_epithelia,glial,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0,5.64,0,0,0,0.81
 48-58,0,0,0.57,0,0,0.57,0.57,0,2.87,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.96,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,0,0,3.93,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0.77
120,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0
