stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,2.46,0,0,0.82,0,0,0,0.82,3.28,0,0.82,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0.81,1.61,0,0,0.81,0,2.42,0,0,1.61,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,1.72,0,0,0,0,0,0,0,0.57,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0.98,0,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,0,1.96,0,0,1.96,0,0,0.98,0,0.98,0,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,2.12,2.12,6.37,0,0,0,0,0,1.06,0,1.06,1.06,0,1.06,0,0,1.06
 96-106,0,1.09,0,0,0,0,1.09,0,4.37,0,2.19,1.09,0,0,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0,0,0,1.53,0,8.43,0,3.83,0,1.53,0.77,0.77,0,0,0,0,0,0,0,0
120,0,0,0,1.96,1.96,0,1.96,0,11.76,0,5.88,0,0,0,0,0,0,0,0,0,0,1.96,0
