stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,10.51,0,0,0,0,0,31.54,2.63,0,18.4,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,47.2,6.29,0,25.18,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,0,0.82,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0.81,5.64,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0.57,3.44,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0.98,0,0,0,0,0.98,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,0.98,0,0.98,0.98,0,0.98,1.96,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,0,1.06,0,0,2.12,2.12,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0
