stage,epidermis,eye,glial,gut,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,1,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0
 36-46,0.81,0,0.81,0,0,0,0,3.22,0,0,0,0,1.61,0
 48-58,0,0.57,0.57,0,0.57,0,0,8.03,0,0.57,0,0,0.57,0
 60-70,0,0.98,0,0,0.98,0.98,0,15.7,0.98,0,0.98,0,0.98,0
 72-82,0,2.94,1.96,0,0,0,0.98,7.85,0,0.98,0,0,0,0
 84-94,0,1.06,1.06,0,1.06,0,0,10.62,0,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,0,5.46,0,0,1.09,0,0,0
108-118,0.77,0.77,0,0,0,0,0,7.66,0,0.77,0,0,0,0.77
120,0,1.96,1.96,1.96,1.96,0,0,7.84,0,0,0,0,0,0
