stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,2.46,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,1.61,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0.57,0,0,0,0,0.57,0.57,0,0,0,0,0,11.48,0,0.57,0,0,0.57,0,0,1.15,0,0,0,0,0
 60-70,0,0.98,0,0,0,7.85,0,0,0,0.98,18.65,0,0,0,0,0,4.91,0,0.98,0,0,0,27.48,0,1.96,0,0,0.98,0,0,6.87,0,0,0,0,0
 72-82,0.98,0,9.82,3.93,0.98,56.94,0,0.98,5.89,21.6,60.86,0.98,0,1.96,2.94,0.98,0.98,0.98,50.06,0.98,0.98,5.89,173.75,0,5.89,0.98,0.98,11.78,0,0,8.83,1.96,0.98,1.96,1.96,1.96
 84-94,3.19,4.25,12.74,13.81,1.06,86.03,0,2.12,0,21.24,172.05,1.06,4.25,3.19,1.06,2.12,3.19,4.25,53.1,0,1.06,11.68,125.32,1.06,2.12,2.12,2.12,50.98,3.19,0,10.62,4.25,0,4.25,0,6.37
 96-106,9.84,9.84,93.98,64.48,14.21,275.4,5.46,10.93,4.37,107.1,243.7,7.65,39.34,12.02,13.11,13.11,30.6,3.28,194.53,5.46,8.74,29.51,605.44,7.65,16.39,24.04,5.46,197.81,2.19,2.19,15.3,10.93,8.74,41.53,13.11,14.21
108-118,3.06,13.79,52.85,22.98,16.09,181.53,5.36,11.49,9.96,75.83,229.02,4.6,14.55,6.89,11.49,6.89,13.79,1.53,182.3,0.77,6.89,26.81,481.79,3.83,9.19,10.72,3.83,77.36,3.83,4.6,11.49,10.72,4.6,20.68,3.83,14.55
120,0,5.88,56.83,21.56,9.8,125.43,0,1.96,11.76,29.4,141.1,3.92,9.8,3.92,3.92,0,9.8,1.96,111.71,7.84,3.92,23.52,337.08,5.88,1.96,1.96,1.96,43.12,5.88,0,15.68,5.88,3.92,11.76,7.84,7.84
