stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,ionocyte,liver,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0.57,0,1.72,0,18.94,0,0,0,0
 60-70,0,0,1.96,1.96,0,0,0.98,0,0,0,0,0.98,0,130.54,0,0,0,0
 72-82,0,0,0,1.96,0.98,0,2.94,0,0.98,0.98,0,5.89,0.98,205.17,0,0,0,0.98
 84-94,0,1.06,2.12,6.37,1.06,1.06,8.5,0,1.06,2.12,1.06,2.12,1.06,482.16,1.06,0,0,0
 96-106,0,17.49,2.19,21.86,2.19,0,12.02,2.19,1.09,9.84,0,9.84,0,725.65,0,2.19,1.09,0
108-118,0,6.13,1.53,24.51,0,0.77,6.89,0.77,1.53,5.36,0.77,3.06,0,315.58,0,0,0,0
120,0,1.96,0,17.64,0,0,3.92,0,0,3.92,0,5.88,0,207.74,0,0,0,0
