stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,79.07,1238.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0
  5-6,91.94,1293.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.69,6.13,0,0,12.26,12.26,0,0,0,0,0,0
  7-9,21.03,23.66,26.29,0,0,47.32,0,0,0,36.8,0,0,0,0,0,0,0,696.61,18.4,0,0,244.47,0,2.63,0,0,0,0,0
 10-12,0,18.88,28.32,0,0,88.12,0,0,0,6.29,0,0,0,0,0,0,0,437.43,6.29,0,0,173.08,0,6.29,0,25.18,0,0,0
 14-21,0,0,0,2,0,1,0,2,0,0,0,0,0,0,3,0,1,55,0,0,0,0,1,0,4,0,1,18,0
 24-34,0,0,0,0.82,0.82,14.78,0,2.46,0,0,0.82,0,0,0,9.03,0,0.82,126.41,0,0.82,0,0,1.64,0,0.82,0,0,37.76,2.46
 36-46,0,0,0,0,0.81,54.79,0.81,1.61,0,0,0,0,0,0.81,8.06,0,0,107.96,0.81,0,1.61,0,0,0,0,0,0,24.17,0
 48-58,0,0,0,0,0,53.94,0,4.02,0,0,0,0,0,0,7.46,0,1.72,38.44,0,0,0,0,0,0,0,0,0,6.89,0.57
 60-70,0,0,0,2.94,0,37.3,0,4.91,0,0,0,0,0,0,9.82,0,1.96,16.69,0,0,0,0,0.98,0,0,0,0,0.98,0.98
 72-82,0,0,0,0.98,0,10.8,0,6.87,0,0,0,0,0.98,0,8.83,1.96,0,15.71,0,0,0,0,1.96,0,0,0,0,0.98,1.96
 84-94,0,0,0,0,1.06,7.43,0,2.12,0,0,0,1.06,1.06,0,10.62,3.19,4.25,16.99,0,0,0,0,2.12,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,5.46,0,2.19,2.19,0,0,0,0,0,4.37,0,1.09,5.46,0,0,2.19,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,2.3,0,6.89,0,0.77,0,0,1.53,0,0,0,3.06,0.77,2.3,14.55,0,0,0,0,0,0,0,0,0,0,1.53
120,0,0,0,0,0,21.56,0,0,0,0,3.92,0,0,0,5.88,0,1.96,11.76,0,0,1.96,0,0,0,0,0,0,0,0
