stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0
 14-21,1,8,0,7,0,2,1,0,0,0,0,4,0,0,52,3,3,0,1,0,21,0,0,0
 24-34,0.82,2.46,0,0.82,0.82,1.64,0,0,0,0,0.82,1.64,0,0.82,25.45,0.82,0.82,0,1.64,0,7.39,0,0.82,0
 36-46,0,0,0,1.61,0,0.81,0,0,0.81,0,0,0,0,0,13.7,2.42,2.42,0,1.61,0,0.81,0,0,0
 48-58,0,0.57,0,3.44,0,2.3,0,0,0,0,0,0.57,0,0,8.03,0,1.15,0,0,0.57,2.3,0,0,0
 60-70,0.98,0,0,0.98,0,0.98,0,0,0.98,0,0,1.96,0,0,7.85,0,0.98,0,0.98,0,0.98,0,0,0
 72-82,0,0.98,0,6.87,0,0.98,0,0,0,0,0,1.96,0.98,0.98,4.91,0.98,1.96,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,5.31,0,1.06,1.06,0,0,0,0,1.06,1.06,0,5.31,3.19,1.06,0,0,0,1.06,1.06,0,0
 96-106,1.09,3.28,0,0,0,0,0,0,0,0,0,0,0,0,1.09,1.09,3.28,0,4.37,0,0,0,0,0
108-118,0.77,0.77,0.77,5.36,0.77,0,1.53,0,0.77,2.3,0,0,0.77,0,3.83,2.3,0.77,0,2.3,0,0,0.77,0.77,0.77
120,1.96,3.92,0,1.96,0,1.96,0,1.96,0,1.96,0,0,0,0,3.92,1.96,0,0,0,0,0,1.96,0,0
