stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,ionocyte,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,276.74,1225.55,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0
  5-6,337.13,1005.26,6.13,0,0,30.65,0,0,0,85.81,0,12.26,49.04,0,0,0
  7-9,2.63,0,15.77,0,0,10.51,0,0,0,13.14,0,5.26,2.63,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,3,0,0,1,0,0,7,1,0,0,1,1,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,4.1,0,0,2.46,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,1.15,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,2.94,0.98,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0.98,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0
