stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,6.29,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,179.38,12.59,0,0,283.23,0,0,0,9.44,6.29,0,9.44,0,0,0,0,0
 14-21,0,1,0,379,1,4,0,12,0,2,9,0,0,0,0,10,0,13,59,1,0,0,0,0,1,0,448,1,14,413,29,0,0,1,0
 24-34,0,0,0,152.68,0,6.57,0,68.13,1.64,2.46,0,0,0,0,0,41.86,0,38.58,100.97,0.82,0,0.82,0,0,0.82,0,1.64,0,0,60.74,49.25,0,0,6.57,0
 36-46,0,0,0,41.89,0,4.83,0.81,53.98,3.22,11.28,0,0.81,0,0.81,0,91.04,0,19.34,47.53,0.81,0.81,0,0,0,0.81,0,0,0,0,0.81,13.7,0,0,0.81,0
 48-58,0,0,0.57,22.38,0,6.31,1.15,54.51,0.57,9.75,0.57,0.57,0,0,0,75.17,0.57,13.77,26.4,0,0,0.57,0,0,0.57,0,0,0,0,0,9.75,0,0,1.15,0
 60-70,0,0,0.98,13.74,0,8.83,0,43.19,2.94,15.7,0,0,0,0,0,83.43,0,11.78,8.83,0,0.98,0,0,0,1.96,0,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,13.74,0,15.71,0,30.43,1.96,14.72,0,2.94,0,0,0,137.43,0,15.71,8.83,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0.98,0,0,0.98
 84-94,0,0,0,13.81,0,11.68,0,46.73,0,2.12,0,0,1.06,2.12,0,104.08,0,12.74,10.62,0,1.06,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,19.67,0,6.56,0,39.34,0,4.37,0,1.09,1.09,1.09,3.28,57.92,0,20.76,14.21,0,0,1.09,0,0,1.09,0,0,0,0,0,1.09,0,0,1.09,3.28
108-118,0,0,0,13.02,0,1.53,0,55.92,2.3,7.66,0,0,0,2.3,0,59.75,0,13.02,19.92,0,0,2.3,0,0,0,0,0,0,0,0,0.77,0,0.77,0,2.3
120,0,0,0,13.72,0,3.92,0,35.28,0,7.84,0,0,1.96,3.92,0,58.79,0,5.88,5.88,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0
