stage,axial,blastomeres,epidermis,eye,glial,gut,ionocyte,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,7.89,0,7.89,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,1
 24-34,0,0,0,0,0,0,0,0.82,0,0,0.82,0
 36-46,0,0,0.81,0,0.81,0,0,1.61,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,2.94,0
 72-82,0,0,0,9.82,0,0,0,1.96,0,0,1.96,0
 84-94,0,0,0,2.12,0,0,0,1.06,0,0,2.12,0
 96-106,0,0,0,3.28,0,0,0,0,0,0,2.19,0
108-118,0,0,0,1.53,0,0,0.77,0.77,0,0,5.36,0
120,0,0,0,0,0,1.96,0,0,1.96,0,5.88,0
