stage,exocrine_pancreas,eye,fin_mesenchyme,glial,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
 14-21,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2,0
 24-34,0,0,0,0,0,0,0,4.1,0,0,0,0,0.82,0,2.46,1.64,0
 36-46,0,0,0,0,0,0,0,3.22,1.61,0,0,0,0,0,0.81,0,0
 48-58,0,1.15,0,0,0,0,0,2.3,0,1.72,0,0,0,0,0,0,0
 60-70,0,4.91,0,0,0,0,0,3.93,0,1.96,0,0,0.98,0,0.98,0,0
 72-82,0,0.98,0.98,0,0,0,0,2.94,0,2.94,0,0.98,0,0,1.96,0,0
 84-94,0,0,0,0,0,0,0,2.12,0,1.06,2.12,0,1.06,0,0,1.06,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0.77,0.77,0,1.53,0.77,0,0,0.77,0,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,3.92,0,3.92,0,0,0,0,0,0,0
