stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13,0,0,0,0,0,0,7,0,0,0,0
 24-34,0,0.82,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,8.21,0,0,0.82,69.77,0.82,2.46,0.82,0,0,0,18.88,0,0,0,0
 36-46,0,1.61,0,0,8.86,0,0,0,3.22,0,0,0,0,0.81,0,6.45,0,0,0.81,205.45,0.81,0.81,0,0,1.61,0,37.87,0,0,0,0.81
 48-58,0,0,0,0,16.07,0,0,0.57,12.05,0,0.57,0,0,0.57,0,10.9,0.57,0,1.72,220.34,0,0.57,0.57,0,1.15,0,34.43,0,0.57,0,0.57
 60-70,0,0,0,0,38.28,0.98,0,1.96,9.82,0,0,0,0,0,0.98,6.87,0,0,2.94,303.29,0,0.98,0.98,0,0,0,28.46,0,0,0,0
 72-82,0,2.94,0,0,19.63,0,0,0,20.61,0,0,0.98,0,0,0.98,10.8,0,0,0,193.39,0.98,5.89,0.98,0,0,0,17.67,0,0,0,0
 84-94,0,0,1.06,0,21.24,0,0,1.06,7.43,0,0,1.06,0,0,0,6.37,0,0,0,91.34,1.06,1.06,0,0,1.06,0,11.68,0,0,0,0
 96-106,0,0,1.09,0,10.93,0,0,0,8.74,1.09,0,0,1.09,0,2.19,5.46,0,0,0,75.41,0,5.46,2.19,0,4.37,0,14.21,1.09,0,1.09,0
108-118,0,1.53,0,0.77,13.79,0,0.77,0,8.43,0,0,0.77,0,0.77,1.53,4.6,0,0.77,0,78.89,0,2.3,0.77,0,0,0,3.83,0,0.77,0,0
120,0,0,0,0,13.72,0,0,0,17.64,0,1.96,0,0,0,0,3.92,0,0,1.96,80.35,0,3.92,0,0,0,1.96,3.92,0,0,0,0
