stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,26.36,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,44.69,2.63,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,2,0,0,2,0,0,0,5,0,0,19,0,0,0,0,2,1,0,5,2,0,0
 24-34,0,0,0,0.82,2.46,0,0,1.64,0,0,0,3.28,0,0.82,36.94,0,0.82,0,0.82,0,0,0,0.82,6.57,0,2.46
 36-46,0,0,0,1.61,0.81,0,0,1.61,0,0,0,0.81,0,0,13.7,0,0,0,1.61,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,5.16,0,0,0.57,0,0,0,4.02,0,0,10.9,0,0,0,1.15,0,0,0,0,2.87,0,0.57
 60-70,0,0,0,0,5.89,0,0.98,1.96,0,0,0,1.96,0.98,0,14.72,0,0,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,0,3.93,0,0,2.94,0.98,0,0,5.89,0.98,0.98,5.89,0,0,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,1.06,0,0,0,0,0,4.25,0,0,1.06,0,0,0,4.25,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,2.19,2.19,0,1.09,3.28,0,1.09,0,4.37,0,0,1.09,0,0,0,6.56,0,0,0,0,1.09,0,0
108-118,0,0,0,3.06,1.53,0.77,0,2.3,0,0,0.77,2.3,0,1.53,3.83,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,3.92,0,0,0,5.88,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0
