stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,0,0,2.63,0,0,0,7.89,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,36.8,5.26,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,3.15,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,2,22,0,0,1,0,0,0,2,1,0,0,0,0,0,0,5,0,0,6,23,0,1,0,0,0,2,0,0,4,13,0,0,0
 24-34,0,0,0,0,25.45,0.82,0,2.46,0,4.1,0,0.82,0,0,0,0,0,0,0,13.95,0,0,8.21,29.55,0.82,0,0,0,0,0,0,0,0.82,10.67,0,13.95,0
 36-46,0,0,0,0,13.7,0.81,0,11.28,0,4.03,0,14.5,0,0,0.81,0,0,0,0,31.42,0.81,0,7.25,42.7,1.61,0,0,0,0,0,0,0.81,0,12.09,0,10.47,0
 48-58,0,0,0,0,3.44,0,0,2.87,0,1.72,1.15,6.89,0,0,0.57,0,0,0,0.57,25.25,0,0.57,1.72,8.03,1.15,0,0,0,0,0,0,1.15,0,4.02,0,8.03,0
 60-70,0,0,0,0,11.78,0,0,2.94,0,8.83,1.96,47.11,0,0,2.94,0.98,0,0,1.96,75.58,0,0.98,5.89,22.58,1.96,0.98,0,0,0,0,0,0.98,0,13.74,0,11.78,0.98
 72-82,0,0,0,0,7.85,0.98,0,7.85,0,1.96,0.98,39.27,0,0,0,2.94,0,0,0,56.94,0,0,2.94,15.71,0,0,0,0,0.98,0,0,0,0,5.89,0,13.74,0.98
 84-94,0,0,0,0,21.24,0,0,6.37,0,7.43,1.06,41.42,0,0,0,4.25,0,1.06,0,37.17,0,1.06,1.06,7.43,2.12,0,0,0,2.12,0,0,0,0,3.19,2.12,8.5,1.06
 96-106,0,0,0,0,21.86,0,1.09,5.46,0,13.11,1.09,34.97,0,0,2.19,3.28,0,0,1.09,59.01,0,1.09,3.28,10.93,3.28,1.09,0,2.19,0,0,0,0,0,5.46,0,10.93,5.46
108-118,0,0,0.77,0,26.81,0.77,0,4.6,0,18.38,0.77,36.77,0,0,0,2.3,1.53,0.77,0.77,45.19,0,0.77,1.53,6.89,3.83,0.77,0,0.77,0,0,0.77,0,0,1.53,2.3,12.26,3.06
120,0,0,0,0,3.92,1.96,0,3.92,1.96,9.8,1.96,25.48,1.96,0,0,3.92,0,0,0,35.28,0,0,1.96,1.96,5.88,0,0,0,0,0,0,0,0,3.92,0,11.76,5.88
