stage,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,slow_muscle,spinal_cord
  7-9,0,0,0,0,0,0,0,5.26,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,1.64,4.1,0,0,0,2.46
 36-46,0,2.42,4.03,0,0,0,2.42,1.61,0,0.81,0,0
 48-58,0,0.57,4.59,0.57,0.57,0.57,0.57,1.72,0,0,0,0.57
 60-70,0,4.91,0.98,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,1.96,0,0,0,0
 84-94,1.06,0,0,0,1.06,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,1.53,0,0,0,0
120,0,0,0,0,0,1.96,0,1.96,0,0,0,0
