stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,3676.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.74,0,0,0,0,0,0,0,0,0,0,0
  5-6,177.76,2635.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,6.13,0,0,36.78,0,85.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,76.23,34.17,97.26,0,0,0,147.21,0,0,0,0,0,63.09,0,0,0,0,0,0,0,0,0,0,0,1587.74,65.72,0,0,722.9,0,2.63,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,62.94,119.58,0,15.73,0,173.08,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,1469.63,28.32,0,0,585.34,0,6.29,9.44,3.15,50.35,0,3.15,0,0,0,0,0,0
 14-21,0,0,16,167,50,0,79,0,0,0,20,9,1,1,0,3,0,0,1,0,87,0,0,72,1185,35,5,15,53,0,17,2,151,11,2,102,375,0,0,7,0,0
 24-34,0,0,4.93,50.07,19.7,0,276.63,0.82,2.46,4.1,45.97,2.46,0.82,0.82,2.46,5.75,2.46,5.75,2.46,0,174.02,0,0,55,1821.48,13.95,16.42,19.7,0,0.82,35.3,0,3.28,3.28,1.64,9.03,413.71,0,0,21.34,0,1.64
 36-46,0,0,0,16.11,4.03,0,504.35,0,0.81,0,32.23,0,0,0,0.81,0,3.22,2.42,3.22,0,107.96,0,1.61,41.89,1029.65,3.22,8.06,9.67,0,1.61,12.09,0,0.81,2.42,0,0,268.29,0,0,6.45,0,2.42
 48-58,0,0,0.57,14.35,2.87,0,554.87,1.15,1.15,1.72,22.95,0.57,0,1.15,1.15,1.15,2.3,2.3,1.72,0,152.63,0,8.61,32.71,431.5,0.57,2.3,5.16,0,0,6.31,0,0,0,0,0,80.91,0,0,10.33,0,1.15
 60-70,0,0,0,21.59,0.98,0,367.09,0,0.98,0,36.32,6.87,0,0.98,2.94,0,1.96,0.98,0.98,0,96.19,0,5.89,17.67,229.68,1.96,1.96,3.93,0,0.98,4.91,0,0,0,0,0,14.72,0,0,3.93,0,2.94
 72-82,0,0,0,21.6,0.98,0.98,134.49,0.98,0,1.96,45.16,4.91,0,2.94,6.87,0.98,1.96,0,0.98,0.98,122.71,0.98,7.85,17.67,201.24,1.96,1.96,5.89,0,0,3.93,0,0,0.98,0,0,5.89,0,1.96,7.85,0,0.98
 84-94,0,0,0,20.18,7.43,2.12,169.93,0,0,2.12,31.86,11.68,0,1.06,5.31,4.25,6.37,1.06,3.19,0,109.39,0,9.56,24.43,194.35,3.19,4.25,6.37,0,0,7.43,0,0,2.12,0,0,2.12,2.12,1.06,21.24,0,1.06
 96-106,0,0,0,21.86,8.74,0,136.61,0,1.09,1.09,56.83,7.65,0,4.37,21.86,1.09,0,3.28,1.09,0,71.04,0,4.37,14.21,205.46,1.09,4.37,8.74,0,0,5.46,0,0,5.46,0,0,3.28,2.19,0,15.3,1.09,0
108-118,0,0,0,16.85,9.19,1.53,130.98,0,0,0,37.53,6.13,0,0.77,14.55,0,3.83,3.06,2.3,1.53,58.21,0,4.6,17.62,226.73,2.3,5.36,6.13,0,0.77,6.13,0,0,2.3,0,0,3.06,0.77,0,9.96,0.77,0.77
120,0,0,0,17.64,17.64,0,109.75,1.96,0,3.92,35.28,7.84,0,0,13.72,0,0,0,1.96,0,43.12,0,1.96,17.64,176.38,0,0,5.88,0,0,3.92,0,0,0,0,0,0,0,0,3.92,0,0
